row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,96.898.852.370,96898852370.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,37.691.316.874,37691316874.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,134.590.169.244,134590169244.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(4.457.043.742),-4457043742.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.449.966.031),-2449966031.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(6.907.009.773),-6907009773.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,92.441.808.628,92441808628.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,127.683.159.471,127683159471.0
