row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Số cuối năm > 4.399.731.006.831 > 5.177.562.571.161,VND Số đầu năm > 2.865.820.538.726 > 3.876.280.851.713,numeric__Số cuối năm > 4.399.731.006.831 > 5.177.562.571.161,numeric__VND Số đầu năm > 2.865.820.538.726 > 3.876.280.851.713
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(3.632.085.457.729),(2.339.661.522.607),-3632085457729.0,-2339661522607.0
Chi phí phát hành trải phiếu,Chi phí phát hành trải phiếu,Chi phí phát hành trải phiếu,(22.345.490.415),(13.993.557.851),-22345490415.0,-13993557851.0
Phân bổ chi phí phát hành trải phiếu,Phân bổ chi phí phát hành trải phiếu,Phân bổ chi phí phát hành trải phiếu,21.603.503.084,11.284.696.850,21603503084.0,11284696850.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,1.136.230.000,-,1136230000.0,
Giám do thanh lý công ty con,Giám do thanh lý công ty con,Giám do thanh lý công ty con,(285.934.428),-,-285934428.0,
Số cuối năm,Số cuối năm,Số cuối năm,5.945.316.428.504,4.399.731.006.831,5945316428504.0,4399731006831.0
