row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 Nghìn VND,1/1/2019 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 Nghìn VND,numeric__1/1/2019 Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn (\( 100 = 110 + 130 + 150 \)),TÀI SẢN > Tài sản ngắn hạn (\( 100 = 110 + 130 + 150 \)),Tài sản ngắn hạn (\( 100 = 110 + 130 + 150 \)),100,,711.706.777,47.959.283,100.0,,711706777.0,47959283.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,4.273.418,3.288.566,110.0,4.0,4273418.0,3288566.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,273.418,234.588,111.0,,273418.0,234588.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,4.000.000,3.053.978,112.0,,4000000.0,3053978.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,707.433.359,44.670.717,130.0,,707433359.0,44670717.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5,707.433.359,44.670.717,136.0,5.0,707433359.0,44670717.0
Tài sản dài hạn(\( 200 = 210 + 220 + 250 \)),TÀI SẢN > Tài sản dài hạn(\( 200 = 210 + 220 + 250 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 250 \)),200,,12.454.770.460,12.495.844.635,200.0,,12454770460.0,12495844635.0
Các khoản phải thu dài hạn,TÀI SẢN > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,3.000.000.000,7.355.509.062,210.0,,3000000000.0,7355509062.0
Phải thu về cho vay dài hạn,TÀI SẢN > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,6,-,3.945.518.100,215.0,6.0,,3945518100.0
Phải thu dài hạn khác,TÀI SẢN > Phải thu dài hạn khác,Phải thu dài hạn khác,216,5,3.000.000.000,3.409.990.962,216.0,5.0,3000000000.0,3409990962.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,220,,-,-,220.0,,,
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,227,,-,-,227.0,,,
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,228,,137.950,137.950,228.0,,137950.0,137950.0
Giá trị hao mòn lũy kế,TÀI SẢN > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(137.950),(137.950),229.0,,-137950.0,-137950.0
Đầu tư tài chính dài hạn,TÀI SẢN > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,9.454.770.460,5.140.335.573,250.0,,9454770460.0,5140335573.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,251,7,9.454.770.460,5.140.335.573,251.0,7.0,9454770460.0,5140335573.0
TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TÀI SẢN > TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),270,,13.166.477.237,12.543.803.918,270.0,,13166477237.0,12543803918.0
