row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Số đầu năm(số liệu đã trình bày),Phân loại lại,Số đầu năm(trình bày lại),numeric__CHỈ TIÊU,numeric__Số đầu năm(số liệu đã trình bày),numeric__Phân loại lại,numeric__Số đầu năm(trình bày lại)
220,220,220,Tài sản cố định,1.678.491.603.232,(121.515.959.855),1.556.975.643.377,,1678491603232.0,-121515959855.0,1556975643377.0
221,221,221,Tài sản cố định hữu hình,840.816.714.657,(118.766.529.134),722.050.185.523,,840816714657.0,-118766529134.0,722050185523.0
222,222,222,Nguyên giá,1.790.944.079.137,(148.195.169.464),1.642.748.909.673,,1790944079137.0,-148195169464.0,1642748909673.0
223,223,223,Giá trị hao mòn lũy kế,(950.127.364.480),29.428.640.330,(920.698.724.150),,-950127364480.0,29428640330.0,-920698724150.0
227,227,227,Tài sản cố định vô hình,837.674.888.575,(2.749.430.721),834.925.457.854,,837674888575.0,-2749430721.0,834925457854.0
228,228,228,Nguyên giá,1.102.012.336.024,(4.602.394.942),1.097.409.941.082,,1102012336024.0,-4602394942.0,1097409941082.0
229,229,229,Giá trị hao mòn lũy kế,(264.337.447.449),1.852.964.221,(262.484.483.228),,-264337447449.0,1852964221.0,-262484483228.0
230,230,230,Bất động sản đầu tư,23.448.947.000,121.515.959.855,144.964.906.855,,23448947000.0,121515959855.0,144964906855.0
231,231,231,Nguyên giá,-,176.246.511.406,176.246.511.406,,,176246511406.0,176246511406.0
232,232,232,Giá trị hao mòn lũy kế,-,(31.281.604.551),(31.281.604.551),,,-31281604551.0,-31281604551.0
250,250,250,Đầu tư tài chính dài hạn,34.352.193.347.678,(969.798.114.557),33.382.395.233.121,,34352193347678.0,-969798114557.0,33382395233121.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,563.527.138.423,(166.832.730.000),396.694.408.423,,563527138423.0,-166832730000.0,396694408423.0
255,255,255,Đầu tư nắm giữ đến ngày đáo hạn,31.751.745.646.963,(802.965.384.557),30.948.780.262.406,,31751745646963.0,-802965384557.0,30948780262406.0
260,260,260,Tài sản dài hạn khác,103.333.425.369,(1.319.349.380),102.014.075.989,,103333425369.0,-1319349380.0,102014075989.0
261,261,261,Chi phí trả trước dài hạn,48.518.305.909,15.147.840.486,63.666.146.395,,48518305909.0,15147840486.0,63666146395.0
268,268,268,Tài sản dài hạn khác,21.905.944.585,(16.467.189.866),5.438.754.719,,21905944585.0,-16467189866.0,5438754719.0
310,310,310,Nợ ngắn hạn,10.855.723.087.317,-,10.855.723.087.317,,10855723087317.0,,10855723087317.0
311,311,311,Phải trả người bán ngắn hạn,1.126.082.627.920,(13.451.512.534),1.112.631.115.386,,1126082627920.0,-13451512534.0,1112631115386.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,58.895.268.900,13.451.512.534,72.346.781.434,,58895268900.0,13451512534.0,72346781434.0
330,330,330,Nợ dài hạn,81.118.146.928,34.417.532.027.684,34.498.650.174.612,,81118146928.0,34417532027684.0,34498650174612.0
344,344,344,Dự phòng nghiệp vụ bảo hiểm,-,34.417.532.027.684,34.417.532.027.684,,,34417532027684.0,34417532027684.0
,,,Dự phòng nghiệp vụ bảo hiểm,34.417.532.027.684,(34.417.532.027.684),-,,34417532027684.0,-34417532027684.0,
