row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thắng dưvốn cổ phànvND,Chênh lệch tỷ giáhối đoái (°)VND,Quỹ đầu tưphát triển và dựphòng tài chínhVND,Quỹ khác thuộcvốn chủ sở hữu (**)VND,Lợi nhuậnsau thuệchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo huệtvND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thắng dưvốn cổ phànvND,numeric__Chênh lệch tỷ giáhối đoái (°)VND,numeric__Quỹ đầu tưphát triển và dựphòng tài chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuệchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo huệtvND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,6.804.714.340.000,3.184.332.381.197,16.075.608.000,21.712.503.565,103.568.802.818,1.867.073.385.965(680.471.434.000),246.015.752.941,573.328.298.527(1.300.000.000),12.816.821.073.013(681.771.434.000),6804714340000.0,3184332381197.0,16075608000.0,21712503565.0,103568802818.0,,246015752941.0,,
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,-,-,-,-,,,,,,,,,
Trích quỹ khen thưởngphúc lợi,Cổ tức chia cho cổ đông > Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(95.282.518.817),-,(2.724.057.357),(98.006.576.174),,,,,,-95282518817.0,,-2724057357.0,-98006576174.0
Trích quỹ phục vu hoatđộng An sinh xã hội,Cổ tức chia cho cổ đông > Trích quỹ phục vu hoatđộng An sinh xã hội,Trích quỹ phục vu hoatđộng An sinh xã hội,-,-,-,-,-,(11.213.504.993),-,-,(11.213.504.993),,,,,,-11213504993.0,,,-11213504993.0
Trích lập quỹ đầu tư pháttriển,Cổ tức chia cho cổ đông > Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,-,-,-,117.211.214.042,-,(117.211.214.042),-,-,-,,,,117211214042.0,,-117211214042.0,,,
Của Công ty mẹ,Cổ tức chia cho cổ đông > Của Công ty mẹ,Của Công ty mẹ,-,-,-,112.135.049.926,-,(112.135.049.926),-,-,-,,,,112135049926.0,,-112135049926.0,,,
Của các công ty con,Cổ tức chia cho cổ đông > Của các công ty con,Của các công ty con,-,-,-,5.076.164.116,-,(5.076.164.116),-,-,-,,,,5076164116.0,,-5076164116.0,,,
Lợi nhuận tầng trong năm,Cổ tức chia cho cổ đông > Lợi nhuận tầng trong năm,Lợi nhuận tầng trong năm,-,-,-,-,-,1.128.007.144.420,-,46.924.275.754,1.174.931.420.174,,,,,,1128007144420.0,,46924275754.0,1174931420174.0
Chi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Cổ tức chia cho cổ đông > Chi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Chi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,(2.493.115.434),-,(22.800.000),(2.515.915.434),,,,,,-2493115434.0,,-22800000.0,-2515915434.0
Trích lập quỹ dự phòng tài chính,Cổ tức chia cho cổ đông > Trích lập quỹ dự phòng tài chính,Trích lập quỹ dự phòng tài chính,-,-,-,3.445.560.339,-,(49.878.997.170),46.433.436.831,-,-,,,,3445560339.0,,-49878997170.0,46433436831.0,,
Giảm khác,Cổ tức chia cho cổ đông > Giảm khác,Giảm khác,-,-,-,-,-,(58.180.660),-,4.364.922,(53.815.738),,,,,,-58180660.0,,4364922.0,-53815738.0
Số dư cuối năm,Cổ tức chia cho cổ đông > Số dư cuối năm,Số dư cuối năm,6.804.714.340.000,3.184.332.381.197,16.075.608.000,142.369.277.946,103.568.802.818,2.038.471.565.269,292.449.189.772,616.210.081.846,13.198.191.246.848,6804714340000.0,3184332381197.0,16075608000.0,142369277946.0,103568802818.0,2038471565269.0,292449189772.0,616210081846.0,13198191246848.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,6.804.714.340.000,3.184.332.381.197,16.075.608.000,142.369.277.946,103.568.802.818,2.038.471.565.269(544.377.147.200),292.449.189.772,616.210.081.846,13.198.191.246.848(544.377.147.200),6804714340000.0,3184332381197.0,16075608000.0,142369277946.0,103568802818.0,,292449189772.0,616210081846.0,
Cổ tức chia cho cổ đông,Năm nay > Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,(115.078.541.327),-,(1.622.140.316),(115.700.681.643),,,,,,-115078541327.0,,-1622140316.0,-115700681643.0
