row_label_raw,row_label_full,col_0,Nghĩa vụ các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo VND,Nghĩa vụ các hợp đồng bảo hiểm không có cấu phần không đảm bảo VND,Tổng nghĩa vụ các hợp đồng bảo hiểm VND,numeric__Nghĩa vụ các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo VND,numeric__Nghĩa vụ các hợp đồng bảo hiểm không có cấu phần không đảm bảo VND,numeric__Tổng nghĩa vụ các hợp đồng bảo hiểm VND
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2016 > Điều khoản riêng,Điều khoản riêng,2.763.406.520,194.102.360.583,196.865.767.103,2763406520.0,194102360583.0,196865767103.0
Trọn đời,Ngày 31 tháng 12 năm 2016 > Trọn đời,Trọn đời,86.504.537.359,-,86.504.537.359,86504537359.0,,86504537359.0
Từ kỳ,Ngày 31 tháng 12 năm 2016 > Từ kỳ,Từ kỳ,-,345.960.811,345.960.811,,345960811.0,345960811.0
Hỗn hợp,Ngày 31 tháng 12 năm 2016 > Hỗn hợp,Hỗn hợp,9.443.453.311.964,12.947.030.136.573,22.390.483.448.537,9443453311964.0,12947030136573.0,22390483448537.0
Liên kết chung,Ngày 31 tháng 12 năm 2016 > Liên kết chung,Liên kết chung,-,14.152.185.338.019,14.152.185.338.019,,14152185338019.0,14152185338019.0
Niên kim,Ngày 31 tháng 12 năm 2016 > Niên kim,Niên kim,602.048.434.063,-,602.048.434.063,602048434063.0,,602048434063.0
Hưu trí tự nguyện,Ngày 31 tháng 12 năm 2016 > Hưu trí tự nguyện,Hưu trí tự nguyện,-,57.645.627.930,57.645.627.930,,57645627930.0,57645627930.0
Khác,Ngày 31 tháng 12 năm 2016 > Khác,Khác,-,13.733.926.117,13.733.926.117,,13733926117.0,13733926117.0
Tổng,Ngày 31 tháng 12 năm 2016 > Tổng,Tổng,10.134.769.689.906,27.365.043.350.033,37.499.813.039.939,10134769689906.0,27365043350033.0,37499813039939.0
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2015 > Điều khoản riêng,Điều khoản riêng,2.987.602.497,152.008.339.553,154.995.942.050,2987602497.0,152008339553.0,154995942050.0
Trọn đời,Ngày 31 tháng 12 năm 2015 > Trọn đời,Trọn đời,85.840.099.877,-,85.840.099.877,85840099877.0,,85840099877.0
Từ kỳ,Ngày 31 tháng 12 năm 2015 > Từ kỳ,Từ kỳ,-,8.936.782.066,8.936.782.066,,8936782066.0,8936782066.0
Hỗn hợp,Ngày 31 tháng 12 năm 2015 > Hỗn hợp,Hỗn hợp,8.791.280.391.660,11.335.613.886.173,20.126.894.277.833,8791280391660.0,11335613886173.0,20126894277833.0
Liên kết chung,Ngày 31 tháng 12 năm 2015 > Liên kết chung,Liên kết chung,-,9.102.279.004.126,9.102.279.004.126,,9102279004126.0,9102279004126.0
Niên kim,Ngày 31 tháng 12 năm 2015 > Niên kim,Niên kim,453.689.322.426,-,453.689.322.426,453689322426.0,,453689322426.0
Tổng,Ngày 31 tháng 12 năm 2015 > Tổng,Tổng,9.333.797.416.460,20.598.838.011.918,29.932.635.428.378,9333797416460.0,20598838011918.0,29932635428378.0
