row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Ký quỹ,Ký quỹ,Ký quỹ,Ký quỹ,Ký quỹ,,
- Hoạt động bảo hiểm nhân thọ,Ký quỹ > - Hoạt động bảo hiểm nhân thọ,- Hoạt động bảo hiểm nhân thọ,20.000.000.000,12.000.000.000,20000000000.0,12000000000.0
- Hoạt động bảo hiểm phi nhân thọ,Ký quỹ > - Hoạt động bảo hiểm phi nhân thọ,- Hoạt động bảo hiểm phi nhân thọ,6.862.496.457,6.862.496.457,6862496457.0,6862496457.0
- Hoạt động kinh doanh chứng khoán,Ký quỹ > - Hoạt động kinh doanh chứng khoán,- Hoạt động kinh doanh chứng khoán,21.147.619.087,21.181.760.379,21147619087.0,21181760379.0
,,,48.010.115.544,40.044.256.836,48010115544.0,40044256836.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
- Hoạt động bảo hiểm phi nhân thọ,Phải thu dài hạn khác > - Hoạt động bảo hiểm phi nhân thọ,- Hoạt động bảo hiểm phi nhân thọ,16.835.080.716,16.467.189.866,16835080716.0,16467189866.0
- Phải thu từ hợp đồng hợp tác kinh doanh (*),Phải thu dài hạn khác > - Phải thu từ hợp đồng hợp tác kinh doanh (*),- Phải thu từ hợp đồng hợp tác kinh doanh (*),-,166.832.730.000,,166832730000.0
,,,16.835.080.716,183.299.919.866,16835080716.0,183299919866.0
,,,64.845.196.260,223.344.176.702,64845196260.0,223344176702.0
