row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,764.988.406.492,328.494.616.851,3.926.917.739,1.097.409.941.082,764988406492.0,328494616851.0,3926917739.0,1097409941082.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,19.886.546.018,-,19.886.546.018,,19886546018.0,,19886546018.0
- Giám trong năm,Nguyên giá: > - Giám trong năm,- Giám trong năm,-,(270.000.000),-,(270.000.000),,-270000000.0,,-270000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,764.988.406.492,348.111.162.869,3.926.917.739,1.117.026.487.100,764988406492.0,348111162869.0,3926917739.0,1117026487100.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Số đầu năm,Giá trị hao mòn luỹ kế: > Số đầu năm,Số đầu năm,59.083.713.279,199.546.946.633,3.853.823.316,262.484.483.228,59083713279.0,199546946633.0,3853823316.0,262484483228.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,7.430.537.609,27.902.900.253,73.094.423,35.406.532.285,7430537609.0,27902900253.0,73094423.0,35406532285.0
- Thanh lý trong năm,Giá trị hao mòn luỹ kế: > - Thanh lý trong năm,- Thanh lý trong năm,-,(241.048.387),-,(241.048.387),,-241048387.0,,-241048387.0
Số cuối năm,Giá trị hao mòn luỹ kế: > Số cuối năm,Số cuối năm,66.514.250.888,227.208.798.499,3.926.917.739,297.649.967.126,66514250888.0,227208798499.0,3926917739.0,297649967126.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,705.904.693.213,128.947.670.218,73.094.423,834.925.457.854,705904693213.0,128947670218.0,73094423.0,834925457854.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,698.474.155.604,120.902.364.370,-,819.376.519.974,698474155604.0,120902364370.0,,819376519974.0
