row_label_raw,row_label_full,Các bên liên quan,Phải thu/(phải trả),Số cuối kỳ VND,Số đầu kỳ VND,numeric__Phải thu/(phải trả),numeric__Số cuối kỳ VND,numeric__Số đầu kỳ VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,"Số dư tiền gửi thanh toán, ký quýSố dư tiền gửi có kỳ hạn và lãi dự thuSố dư trái phiếu và lãi dự thuSố dư các hợp đồng mua bán lại trái phiếu Chính phủPhải thu phí CNTTSố dư khoản vay",836.941.670.1525.281.793.813.1701.304.104.585.673(1.572.737.755.405)686.193.451(1.360.550.000),225.086.011.6183.892.811.184.5221.304.238.356.164(981.657.183.148)2.047.020.900(2.010.470.000),,,
Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Các khoản phải thu liên quan đến hoạt động bảo hiểmCác khoản phải trả liên quan đến hoạt động bảo hiểm,49.118.999.351(33.135.996.687),44.343.179.358(34.769.341.257),,,
VIGEBA,VIGEBA,VIGEBA,Phải trả tam ứng cổ tức Phải thu liên quan đến góp vốn vào dự án TT1 – Thành phố Giao LưuPhải thu liên quan đến hoạt động xây lắpĐặt cọc tham gia dự án TT3 – Thành phố Giao LưuPhải trả tiền mua các căn hộ thuộc dự án Thành phố Giao Lưu,-204.435.252.012763.759.35810.000.000.000(76.089.775.001),(8.100.000.000)166.832.730.00037.380.915.50410.000.000.000(76.089.775.001),,,
