row_label_raw,row_label_full,Công ty được đầu tư,Địa chỉ,Lĩnh vực kinh doanh,Vốn điều lệ,Tỷ lệ sở hữu,numeric__Địa chỉ,numeric__Lĩnh vực kinh doanh,numeric__Vốn điều lệ,numeric__Tỷ lệ sở hữu
Công ty được đầu tư,Công ty được đầu tư,Công ty được đầu tư,Địa chỉ,Lĩnh vực kinh doanh,Tỷ VND,%,,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
"Công ty Cổ phần Khách sạn và Du lịch Bảo Việt (""Bảo Việt Resort"")","Công ty liên kết > Công ty Cổ phần Khách sạn và Du lịch Bảo Việt (""Bảo Việt Resort"")","Công ty Cổ phần Khách sạn và Du lịch Bảo Việt (""Bảo Việt Resort"")","Số 706 B, Đồi Cát Bay, Khu phố 5, Mũi Né, Thành phố Phan Thiết, Tỉnh Bình Thuận",Dịch vụ du lịch và nghĩ dưỡng,"63,50","38,58",,,63.5,38.58
"Công ty Cổ phần Đầu tư và Xây dựng Quốc tế VIGEBA (""VIGEBA"")","Công ty liên kết > Công ty Cổ phần Đầu tư và Xây dựng Quốc tế VIGEBA (""VIGEBA"")","Công ty Cổ phần Đầu tư và Xây dựng Quốc tế VIGEBA (""VIGEBA"")","232 Phạm Văn Đồng, Cổ Nhuế, Từ Liêm, Hà Nội",Kinh doanh bất động sản,"180,00","30,00",,,180.0,30.0
"Công ty Cổ phần Đầu tư và Xây dựng Long Việt (""Long Việt"")","Công ty liên kết > Công ty Cổ phần Đầu tư và Xây dựng Long Việt (""Long Việt"")","Công ty Cổ phần Đầu tư và Xây dựng Long Việt (""Long Việt"")","Tòa nhà văn phòng khu biệt thự Quang Minh, thị trấn Quang Minh, huyện Mê Lĩnh, Hà Nội",Xây dựng,"65,04","45,00",,,65.04,45.0
"Công ty Cổ phần Đầu tư SCIC - Bảo Việt (""Bảo Việt SCIC"")","Công ty liên kết > Công ty Cổ phần Đầu tư SCIC - Bảo Việt (""Bảo Việt SCIC"")","Công ty Cổ phần Đầu tư SCIC - Bảo Việt (""Bảo Việt SCIC"")","220 đường Trần Duy Hung, phường Trung Hòa, quận Cầu Giấy, Hà Nội",Kinh doanh bất động sản,"140,00","50,00",,,140.0,50.0
"Ngân hàng TMCP Bảo Việt (""Bảo Việt Bank"")","Công ty liên kết > Ngân hàng TMCP Bảo Việt (""Bảo Việt Bank"")","Ngân hàng TMCP Bảo Việt (""Bảo Việt Bank"")","Tòa nhà Cornerstone 16 Phan Chu Trinh, quận Hoàn Kiểm, Hà Nội",Dịch vụ ngân hàng,"3.150,00","49,52",,,3150.0,49.52
"Công ty Cổ phần Trung Nam Phú Quốc (""Trung Nam Phú Quốc"")","Công ty liên kết > Công ty Cổ phần Trung Nam Phú Quốc (""Trung Nam Phú Quốc"")","Công ty Cổ phần Trung Nam Phú Quốc (""Trung Nam Phú Quốc"")","Tổ 1, áp Cửa Lắp, xã Dương Tơ, huyện Phú Quốc, tỉnh Kiên Giang",Dịch vụ du lịch và nghĩ dưỡng,"220,00","49,00",,,220.0,49.0
"Công ty Cổ phần Du lịch Lâm Đồng (""Du lịch Lâm Đồng"")","Công ty liên kết > Công ty Cổ phần Du lịch Lâm Đồng (""Du lịch Lâm Đồng"")","Công ty Cổ phần Du lịch Lâm Đồng (""Du lịch Lâm Đồng"")","01 Lê Đại Hành, phường 1, Thành phố Đà Lạt, Lâm Đồng",Dịch vụ du lịch và nghĩ dưỡng,"200,00","36,31",,,200.0,36.31
"Công ty Cổ phần Vận tải biển Sài Gòn (""Saigonship"")","Công ty liên kết > Công ty Cổ phần Vận tải biển Sài Gòn (""Saigonship"")","Công ty Cổ phần Vận tải biển Sài Gòn (""Saigonship"")","09 Nguyễn Công Trữ, phường Nguyễn Thái Bình, Quận 01, Thành phố Hồ Chí Minh",Dịch vụ vận tải,"144,02","36,68",,,144.02,36.68
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
"Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine (""Bảo Việt Tokio Marine"")","Công ty liên doanh > Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine (""Bảo Việt Tokio Marine"")","Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine (""Bảo Việt Tokio Marine"")","P601, tầng 6, Tòa nhà Mặt trời Sông Hồng, 23 Phan Chu Trinh, quận Hoàn Kiểm, Hà Nội","Bảo hiểm phi nhân thọ, tái bảo hiểm, giám định tổn thất, hoạt động đầu tư tài chính","300,00","49,00",,,300.0,49.0
