row_label_raw,row_label_full,Công ty được dấu tư,Lĩnh vực kinh doanh,Vốn điều lệ VND,Tỷ lệ sở hữu %,Quyền biểu quyết của Tập đoàn %,numeric__Lĩnh vực kinh doanh,numeric__Vốn điều lệ VND,numeric__Tỷ lệ sở hữu %,numeric__Quyền biểu quyết của Tập đoàn %
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Bảo Việt Resort,Công ty liên kết > Bảo Việt Resort,Bảo Việt Resort,Dịch vụ du lịch và nghĩ dưỡng,63.500.000.000,"38,58","38,58",,63500000000.0,38.58,38.58
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Kinh doanh bất động sản,180.000.000.000,"30,00","30,00",,180000000000.0,30.0,30.0
Long Việt,Công ty liên kết > Long Việt,Long Việt,Xây dựng,65.043.200.000,"45,00","45,00",,65043200000.0,45.0,45.0
Bảo Việt SCIC,Công ty liên kết > Bảo Việt SCIC,Bảo Việt SCIC,Kinh doanh bất động sản,140.000.000.000,"50,00","50,00",,140000000000.0,50.0,50.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Dịch vụ ngân hàng,3.150.000.000.000,"49,52","49,52",,3150000000000.0,49.52,49.52
Trung Nam Phú Quốc,Công ty liên kết > Trung Nam Phú Quốc,Trung Nam Phú Quốc,Dịch vụ du lịch và nghĩ dưỡng,220.000.000.000,"49,00","49,00",,220000000000.0,49.0,49.0
Du lịch Lâm Đồng,Công ty liên kết > Du lịch Lâm Đồng,Du lịch Lâm Đồng,Dịch vụ du lịch và nghĩ dưỡng,200.000.007.122,"36,31","36,31",,200000007122.0,36.31,36.31
"Công ty Cổ phần Vận tải biển Sài Gòn (""Saigonship"")","Công ty liên kết > Công ty Cổ phần Vận tải biển Sài Gòn (""Saigonship"")","Công ty Cổ phần Vận tải biển Sài Gòn (""Saigonship"")",Dịch vụ vận tải,144.200.000.000,"36,68","36,68",,144200000000.0,36.68,36.68
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
Bảo Việt Tokio Marine,Công ty liên doanh > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,"Bảo hiểm phi nhân thọ, tái bảo hiểm, giám định tồn thất, hoạt động đầu tư tài chính",300.000.000.000,"49,00","49,00",,300000000000.0,49.0,49.0
