row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Chưa quá hạn và không giảm giá trị VND,Quá hạn nhưng không giảm giá trị riêng lẻ VND,Bị giảm giá trị riêng lẻ (*) VND,Tổng VND,numeric__Chưa quá hạn và không giảm giá trị VND,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ VND,numeric__Bị giảm giá trị riêng lẻ (*) VND,numeric__Tổng VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.883.458.103.350,-,-,2.883.458.103.350,2883458103350.0,,,2883458103350.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,558.005.785.083,50.341.035.764,25.469.433.424,633.816.254.271,558005785083.0,50341035764.0,25469433424.0,633816254271.0
Phải thu tài bảo hiểm,TÀI SẢN > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,443.785.771.288,-,-,443.785.771.288,443785771288.0,,,443785771288.0
Tài sản tài bảo hiểm,TÀI SẢN > Tài sản tài bảo hiểm,Tài sản tài bảo hiểm,1.316.288.076.711,-,-,1.316.288.076.711,1316288076711.0,,,1316288076711.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,71.304.269.999,-,-,71.304.269.999,71304269999.0,,,71304269999.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",65.408.085.149,-,-,65.408.085.149,65408085149.0,,,65408085149.0
- Phải thu cố tức,TÀI SẢN > - Phải thu cố tức,- Phải thu cố tức,5.896.184.850,-,-,5.896.184.850,5896184850.0,,,5896184850.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,56.518.244.662.074,-,284.851.389.901,56.803.096.051.975,56518244662074.0,,284851389901.0,56803096051975.0
- Hợp đồng tiền gửi có ký hạn,TÀI SẢN > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,19.578.689.590.848,-,-,19.578.689.590.848,19578689590848.0,,,19578689590848.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,36.939.555.071.226,-,284.851.389.901,37.224.406.461.127,36939555071226.0,,284851389901.0,37224406461127.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,746.868.956.229,-,-,746.868.956.229,746868956229.0,,,746868956229.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,746.868.956.229,-,-,746.868.956.229,746868956229.0,,,746868956229.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,1.314.371.465.681,814.002.143,5.052.679.961,1.320.238.147.785,1314371465681.0,814002143.0,5052679961.0,1320238147785.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,394.735.143.903,1.795.437.534,21.307.582.090,417.838.163.527,394735143903.0,1795437534.0,21307582090.0,417838163527.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,64.247.062.234.318,52.950.475.441,336.681.085.376,64.636.693.795.135,64247062234318.0,52950475441.0,336681085376.0,64636693795135.0
