row_label_raw,row_label_full,col_0,Dự phòngbảo hiểm gốc và nhận táiVND,Dự phòng nhượngtái bảo hiểm (tài sản tái bảo hiểm)VND,Dự phòngbảo hiểm thuầnVND,numeric__Dự phòngbảo hiểm gốc và nhận táiVND,numeric__Dự phòng nhượngtái bảo hiểm (tài sản tái bảo hiểm)VND,numeric__Dự phòngbảo hiểm thuầnVND
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Dự phòng phí chưa được hưởng,Số đầu năm > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,3.052.420.215.465,(516.636.365.145),2.535.783.850.320,3052420215465.0,-516636365145.0,2535783850320.0
Dự phòng bồi thường,Số đầu năm > Dự phòng bồi thường,Dự phòng bồi thường,1.208.079.994.945,(490.203.444.293),717.876.550.652,1208079994945.0,-490203444293.0,717876550652.0
Dự phòng dao động lớn,Số đầu năm > Dự phòng dao động lớn,Dự phòng dao động lớn,159.554.338.690,-,159.554.338.690,159554338690.0,,159554338690.0
Tổng cộng,Số đầu năm > Tổng cộng,Tổng cộng,4.420.054.549.100,(1.006.839.809.438),3.413.214.739.662,4420054549100.0,-1006839809438.0,3413214739662.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Dự phòng phí chưa được hưởng,Số cuối năm > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,3.472.295.991.642,(709.578.730.959),2.762.717.260.683,3472295991642.0,-709578730959.0,2762717260683.0
Dự phòng bồi thường,Số cuối năm > Dự phòng bồi thường,Dự phòng bồi thường,1.450.436.873.240,(606.709.345.752),843.727.527.488,1450436873240.0,-606709345752.0,843727527488.0
Dự phòng dao động lớn,Số cuối năm > Dự phòng dao động lớn,Dự phòng dao động lớn,176.172.011.377,-,176.172.011.377,176172011377.0,,176172011377.0
Tổng cộng,Số cuối năm > Tổng cộng,Tổng cộng,5.098.904.876.259,(1.316.288.076.711),3.782.616.799.548,5098904876259.0,-1316288076711.0,3782616799548.0
