row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường VND,Dư phòng chia lãi VND,Dư phòng đảm bảo cân đối VND,Dư phòng dao động lớn VND,Tổng cộng VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng đảm bảo cân đối VND,numeric__Dư phòng dao động lớn VND,numeric__Tổng cộng VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,
Số đầu năm,Bảo hiểm nhân thọ > Số đầu năm,Số đầu năm,28.462.331.338.355,87.872.678.996,30.932.555.380,1.357.955.906.231,58.384.999.622,-,29.997.477.478.584,28462331338355.0,87872678996.0,30932555380.0,1357955906231.0,58384999622.0,,29997477478584.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,7.817.786.340.296,20.645.822.148,7.683.406.928,27.657.369.626,6.337.550.258,-,7.880.110.489.256,7817786340296.0,20645822148.0,7683406928.0,27657369626.0,6337550258.0,,7880110489256.0
Số cuối năm,Bảo hiểm nhân thọ > Số cuối năm,Số cuối năm,36.280.117.678.651,108.518.501.144,38.615.962.308,1.385.613.275.857,64.722.549.880,-,37.877.587.967.840,36280117678651.0,108518501144.0,38615962308.0,1385613275857.0,64722549880.0,,37877587967840.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,
Số đầu năm,Bảo hiểm phi nhân thọ > Số đầu năm,Số đầu năm,-,3.052.420.215.465,1.208.079.994.945,-,-,159.554.338.690,4.420.054.549.100,,3052420215465.0,1208079994945.0,,,159554338690.0,4420054549100.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,419.875.776.177,242.356.878.295,-,-,16.617.672.687,678.850.327.159,,419875776177.0,242356878295.0,,,16617672687.0,678850327159.0
Số cuối năm,Bảo hiểm phi nhân thọ > Số cuối năm,Số cuối năm,-,3.472.295.991.642,1.450.436.873.240,-,-,176.172.011.377,5.098.904.876.259,,3472295991642.0,1450436873240.0,,,176172011377.0,5098904876259.0
Tổng cộng số dư đầu năm,Bảo hiểm phi nhân thọ > Tổng cộng số dư đầu năm,Tổng cộng số dư đầu năm,28.462.331.338.355,3.140.292.894.461,1.239.012.550.325,1.357.955.906.231,58.384.999.622,159.554.338.690,34.417.532.027.684,28462331338355.0,3140292894461.0,1239012550325.0,1357955906231.0,58384999622.0,159554338690.0,34417532027684.0
Tổng cộng số dư cuối năm,Bảo hiểm phi nhân thọ > Tổng cộng số dư cuối năm,Tổng cộng số dư cuối năm,36.280.117.678.651,3.580.814.492.786,1.489.052.835.548,1.385.613.275.857,64.722.549.880,176.172.011.377,42.976.492.844.099,36280117678651.0,3580814492786.0,1489052835548.0,1385613275857.0,64722549880.0,176172011377.0,42976492844099.0
