row_label_raw,row_label_full,Mã số,NGUỒN VÔN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VÔN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,59.309.916.882.792,45.354.373.261.929,,,59309916882792.0,45354373261929.0
310,310,310,I. Nợ ngắn hạn,,16.230.271.115.790,10.855.723.087.317,,,16230271115790.0,10855723087317.0
311,311,311,1. Phải trả người bán ngắn hạn,16.1,1.576.935.784.713,1.112.631.115.386,,161.0,1576935784713.0,1112631115386.0
311.1,311.1,311.1,1.1 Phải trả hoạt động bảo hiểm,,1.383.568.559.914,989.456.816.389,,,1383568559914.0,989456816389.0
311.2,311.2,311.2,1.2 Phải trả khác hoạt động tài chính,,66.003.088.161,-,,,66003088161.0,
311.3,311.3,311.3,1.3 Phải trả người bán và nhà cung cấp dịch vụ,,127.364.136.638,123.174.298.997,,,127364136638.0,123174298997.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16.2,10.443.709.813,8.228.873.607,,162.0,10443709813.0,8228873607.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,16.004.120.760,96.679.287.168,,17.0,16004120760.0,96679287168.0
314,314,314,4. Phải trả người lao động,,736.503.250.494,621.422.411.172,,,736503250494.0,621422411172.0
315,315,315,5. Chi phí phải trả ngắn hạn,,56.627.960.995,51.159.635.780,,,56627960995.0,51159635780.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,83.403.075.494,72.346.781.434,,,83403075494.0,72346781434.0
318.1,318.1,318.1,7. Doanh thu hoa hồng chưa được hưởng,18,115.396.746.402,95.318.882.134,,18.0,115396746402.0,95318882134.0
319,319,319,8. Phải trả ngắn hạn khác,19,482.252.118.261,405.716.995.604,,19.0,482252118261.0,405716995604.0
320,320,320,9. Vay ngắn hạn,20,161.009.048.468,29.800.759.917,,20.0,161009048468.0,29800759917.0
322,322,322,"10. Quỹ khen thưởng, phúc lợi",21,78.324.934.729,109.969.996.853,,21.0,78324934729.0,109969996853.0
324,324,324,11. Giao dịch mua bán lại trái phiếu Chính phủ,22,12.913.370.365.661,8.252.448.348.262,,22.0,12913370365661.0,8252448348262.0
330,330,330,II. Nợ dài hạn,,43.079.645.767.002,34.498.650.174.612,,,43079645767002.0,34498650174612.0
337,337,337,1. Phải trả dài hạn khác,,99.815.372.901,74.806.099.908,,,99815372901.0,74806099908.0
338,338,338,2. Vay dài hạn,20,3.337.550.002,1.360.550.000,,20.0,3337550002.0,1360550000.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,17.2.2,-,4.951.497.020,,1722.0,,4951497020.0
344,344,344,4. Dự phòng,23,42.976.492.844.099,34.417.532.027.684,,23.0,42976492844099.0,34417532027684.0
344.1,344.1,344.1,4.1 Dự phòng toán học,,36.280.117.678.651,28.462.331.338.355,,,36280117678651.0,28462331338355.0
344.2,344.2,344.2,4.2 Dự phòng phí chưa được hưởng,,3.580.814.492.786,3.140.292.894.461,,,3580814492786.0,3140292894461.0
344.3,344.3,344.3,4.3 Dự phòng bồi thường,,1.489.052.835.548,1.239.012.550.325,,,1489052835548.0,1239012550325.0
344.4,344.4,344.4,4.4 Dự phòng chair lãi,,1.385.613.275.857,1.357.955.906.231,,,1385613275857.0,1357955906231.0
344.5,344.5,344.5,4.5 Dự phòng đảm bảo cân đối,,64.722.549.880,58.384.999.622,,,64722549880.0,58384999622.0
344.8,344.8,344.8,4.6 Dự phòng dao động lớn,,176.172.011.377,159.554.338.690,,,176172011377.0,159554338690.0
