row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Thu từ nhượng tái bảo hiểm,Bảo hiểm nhân thọ > Thu từ nhượng tái bảo hiểm,Thu từ nhượng tái bảo hiểm,-,2.600.656.750,,2600656750.0
,,,-,2.600.656.750,,2600656750.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,15.741.288.883,37.670.043.146,15741288883.0,37670043146.0
Bảo hiểm Tàu thủy,Bảo hiểm phi nhân thọ > Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,68.712.792.073,102.894.420.498,68712792073.0,102894420498.0
Bảo hiểm Đầu khí,Bảo hiểm phi nhân thọ > Bảo hiểm Đầu khí,Bảo hiểm Đầu khí,-,20.595.120,,20595120.0
Bảo hiểm Hàng không,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng không,Bảo hiểm Hàng không,81.155.520.939,34.947.522.264,81155520939.0,34947522264.0
Bảo hiểm Kỹ thuật,Bảo hiểm phi nhân thọ > Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,61.804.285.028,43.404.470.670,61804285028.0,43404470670.0
Bảo hiểm Hòa hoan và các rủi ro đặc biệt,Bảo hiểm phi nhân thọ > Bảo hiểm Hòa hoan và các rủi ro đặc biệt,Bảo hiểm Hòa hoan và các rủi ro đặc biệt,99.616.079.966,148.161.086.112,99616079966.0,148161086112.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm phi nhân thọ > Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,7.288.543.378,768.477.958,7288543378.0,768477958.0
Bảo hiểm Xe cơ giới,Bảo hiểm phi nhân thọ > Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,120.376.845.825,-,120376845825.0,
Bảo hiểm Y tế tự nguyện và con người,Bảo hiểm phi nhân thọ > Bảo hiểm Y tế tự nguyện và con người,Bảo hiểm Y tế tự nguyện và con người,60.562.979.125,42.371.872.295,60562979125.0,42371872295.0
Bảo hiểm Nông nghiệp,Bảo hiểm phi nhân thọ > Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,6.197.883.306,32.249.615,6197883306.0,32249615.0
,,,521.456.218.523,410.270.737.678,521456218523.0,410270737678.0
,,,521.456.218.523,412.871.394.428,521456218523.0,412871394428.0
