row_label_raw,row_label_full,CHÍ TIÊU,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),135.951.378.439,331.716.061.146,135951378439.0,331716061146.0
2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),6.343.174.175,6.269.014.133,6343174175.0,6269014133.0
3. Ngoại tệ (USD),3. Ngoại tệ (USD),3. Ngoại tệ (USD),1.687.154,1.006.644,1687154.0,1006644.0
4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),29.639.857.858.189,22.929.950.758.805,29639857858189.0,22929950758805.0
5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),2.345.876.680.000,1.783.554.450.000,2345876680000.0,1783554450000.0
6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),539.361.960.865,451.246.791.510,539361960865.0,451246791510.0
7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),493.659.975.066,431.232.763.618,493659975066.0,431232763618.0
8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),13.810.332.686,15.130.092.009,13810332686.0,15130092009.0
9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),(468.361.551.878),(609.989.819.363),-468361551878.0,-609989819363.0
"10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",1.237.139.509.018,1.036.752.191.790,1237139509018.0,1036752191790.0
