row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND",Trang thiết bịvăn phòngVND,Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND",numeric__Trang thiết bịvăn phòngVND,numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,931.159.774.272,50.748.198.400,397.818.012.456,260.827.877.869,2.195.046.676,1.642.748.909.673,931159774272.0,50748198400.0,397818012456.0,260827877869.0,2195046676.0,1642748909673.0
"- Mua sắm, xây dựngmới, chuyển từ xây dựng cơ bản dở dang","Nguyên giá: > - Mua sắm, xây dựngmới, chuyển từ xây dựng cơ bản dở dang","- Mua sắm, xây dựngmới, chuyển từ xây dựng cơ bản dở dang",11.127.030.684,28.102.430.758,37.354.288.129,18.666.302.827,2.758.183.118,98.008.235.516,11127030684.0,28102430758.0,37354288129.0,18666302827.0,2758183118.0,98008235516.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,56.562.987.743,1.858.746.891,(57.878.039.322),(543.695.312),-,,56562987743.0,1858746891.0,-57878039322.0,-543695312.0,
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(10.138.608.137),(61.000.000),(10.167.497.205),(4.832.954.450),(75.357.598),(25.275.417.390),-10138608137.0,-61000000.0,-10167497205.0,-4832954450.0,-75357598.0,-25275417390.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,932.148.196.819,135.352.616.901,426.863.550.271,216.783.186.924,4.334.176.884,1.715.481.727.799,932148196819.0,135352616901.0,426863550271.0,216783186924.0,4334176884.0,1715481727799.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,349.033.365.615,43.092.238.185,308.286.846.322,218.926.196.317,1.360.077.711,920.698.724.150,349033365615.0,43092238185.0,308286846322.0,218926196317.0,1360077711.0,920698724150.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,33.626.675.337,8.182.677.322,32.325.745.232,16.979.206.763,673.486.149,91.787.790.803,33626675337.0,8182677322.0,32325745232.0,16979206763.0,673486149.0,91787790803.0
- Phân loại lại,Giá trị hao mòn lũy kế: > - Phân loại lại,- Phân loại lại,-,44.710.389.727,704.364.343,(45.181.071.659),(233.682.411),-,,44710389727.0,704364343.0,-45181071659.0,-233682411.0,
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(4.884.704.246),(61.000.000),(9.599.322.686),(4.824.470.267),(75.357.597),(19.444.854.796),-4884704246.0,-61000000.0,-9599322686.0,-4824470267.0,-75357597.0,-19444854796.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,377.775.336.706,95.924.305.234,331.717.633.211,185.899.861.154,1.724.523.852,993.041.660.157,377775336706.0,95924305234.0,331717633211.0,185899861154.0,1724523852.0,993041660157.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,582.126.408.657,7.655.960.215,89.531.166.134,41.901.681.552,834.968.965,722.050.185.523,582126408657.0,7655960215.0,89531166134.0,41901681552.0,834968965.0,722050185523.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,554.372.860.113,39.428.311.667,95.145.917.060,30.883.325.770,2.609.653.032,722.440.067.642,554372860113.0,39428311667.0,95145917060.0,30883325770.0,2609653032.0,722440067642.0
