row_label_raw,row_label_full,Nhà cửa,06 - 50 năm,numeric__06 - 50 năm
Quyền sử dụng đất có thời hạn,Quyền sử dụng đất có thời hạn,Quyền sử dụng đất có thời hạn,theo thời hạn trên giấy chứng nhận quyền sử dụng đất,
Tài sản khác,Tài sản khác,Tài sản khác,05 - 10 năm,
