row_label_raw,row_label_full,col_0,Số đầu năm,Tăng/(giảm) vốn trong năm,Cổ tức thu được/loi nhuận đã phân phối,Lợi nhuận/(lỗ) trong năm thuộc về Tập đoàn,Đơn vị: VND > Số cuối năm,numeric__Số đầu năm,numeric__Tăng/(giảm) vốn trong năm,numeric__Cổ tức thu được/loi nhuận đã phân phối,numeric__Lợi nhuận/(lỗ) trong năm thuộc về Tập đoàn,numeric__Đơn vị: VND > Số cuối năm
Bảo Việt Resort,Bảo Việt Resort,Bảo Việt Resort,21.000.000.000,3.500.000.000,-,(4.410.961.089),20.089.038.911,21000000000.0,3500000000.0,,-4410961089.0,20089038911.0
VIGEBA,VIGEBA,VIGEBA,64.802.582.976,-,(8.100.000.000),5.251.983.247,61.954.566.223,64802582976.0,,-8100000000.0,5251983247.0,61954566223.0
Long Việt,Long Việt,Long Việt,32.348.407.145,-,-,211.551.531,32.559.958.676,32348407145.0,,,211551531.0,32559958676.0
Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,234.450.897.728,(8.409.430.094),(38.468.578.432),36.406.108.467,223.978.997.669,234450897728.0,-8409430094.0,-38468578432.0,36406108467.0,223978997669.0
Bảo Việt SCIC,Bảo Việt SCIC,Bảo Việt SCIC,74.355.873.406,-,-,1.979.759.114,76.335.632.520,74355873406.0,,,1979759114.0,76335632520.0
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,1.664.202.775.730,-,(31.200.000.000),43.137.824.240,1.676.140.599.970,1664202775730.0,,-31200000000.0,43137824240.0,1676140599970.0
Trung Nam Phú Quốc,Trung Nam Phú Quốc,Trung Nam Phú Quốc,-,431.200.000.000,-,-,431.200.000.000,,431200000000.0,,,431200000000.0
Dư lịch Lâm Đồng,Dư lịch Lâm Đồng,Dư lịch Lâm Đồng,-,203.315.728.000,-,6.801.284.677,210.117.012.677,,203315728000.0,,6801284677.0,210117012677.0
Saigonship,Saigonship,Saigonship,-,63.361.212.137,-,-,63.361.212.137,,63361212137.0,,,63361212137.0
,,,2.091.160.536.985,692.967.510.043,(77.768.578.432),89.377.550.187,2.795.737.018.783,2091160536985.0,692967510043.0,-77768578432.0,89377550187.0,2795737018783.0
