row_label_raw,row_label_full,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016_1,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016_2,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016_3,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016_1,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016_2,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016_3
,,,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị số sách,Giá trị số sách,924.392.643.568,263.626.094.280,1.188.018.737.848,924392643568.0,263626094280.0,1188018737848.0
Giá trị thị trường,Giá trị thị trường,Giá trị thị trường,1.157.955.409.540,441.520.765.600,1.599.476.175.140,1157955409540.0,441520765600.0,1599476175140.0
"VaR (95%, 1 ngày)","VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(14.541.652.974),(11.902.648.998),(26.444.301.972),-14541652974.0,-11902648998.0,-26444301972.0
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),18.141.480.892,7.227.525.676,25.369.006.568,18141480892.0,7227525676.0,25369006568.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(32.516.124.556),(26.615.132.272),(59.131.256.828),-32516124556.0,-26615132272.0,-59131256828.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(68.206.398.285),(55.828.372.444),(124.034.770.729),-68206398285.0,-55828372444.0,-124034770729.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(230.841.584.532),(188.948.695.151),(419.790.279.683),-230841584532.0,-188948695151.0,-419790279683.0
Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,,,
,,,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > Giá trị số sách,Giá trị số sách,998.741.069.402,234.044.374.738,1.232.785.444.140,998741069402.0,234044374738.0,1232785444140.0
Giá trị thị trường,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > Giá trị thị trường,Giá trị thị trường,906.036.178.300,516.048.299.600,1.422.084.477.900,906036178300.0,516048299600.0,1422084477900.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(15.377.565.225),(15.459.076.038),(30.836.641.263),-15377565225.0,-15459076038.0,-30836641263.0
Mức độ đa dạng hóa VaR (95%),Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),12.743.072.284,8.954.804.139,21.697.876.423,12743072284.0,8954804139.0,21697876423.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(34.385.281.171),(34.567.544.890),(68.952.826.061),-34385281171.0,-34567544890.0,-68952826061.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(72.127.174.278),(72.509.493.881),(144.636.668.159),-72127174278.0,-72509493881.0,-144636668159.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(244.111.280.128),(245.405.224.171),(489.516.504.299),-244111280128.0,-245405224171.0,-489516504299.0
