row_label_raw,row_label_full,31 tháng 12 năm 2016,Giá trị ghi sổ > Nguyên giá VND > 31 tháng 12 năm 2016,Giá trị ghi sổ > Dự phòng giảm giá trị VND > 31 tháng 12 năm 2016,Giá trị ghi sổ > Giá trị thuần VND > 31 tháng 12 năm 2016,Giá trị hợp lý > VND > 31 tháng 12 năm 2016,numeric__Giá trị ghi sổ > Nguyên giá VND > 31 tháng 12 năm 2016,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND > 31 tháng 12 năm 2016,numeric__Giá trị ghi sổ > Giá trị thuần VND > 31 tháng 12 năm 2016,numeric__Giá trị hợp lý > VND > 31 tháng 12 năm 2016
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,57.635.596.978.576,(832.500.926.601),56.803.096.051.975,59.623.803.267.286,57635596978576.0,-832500926601.0,56803096051975.0,59623803267286.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,20.021.289.590.848,(442.600.000.000),19.578.689.590.848,19.747.093.905.363,20021289590848.0,-442600000000.0,19578689590848.0,19747093905363.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,37.614.307.387.728,(389.900.926.601),37.224.406.461.127,39.876.709.361.923,37614307387728.0,-389900926601.0,37224406461127.0,39876709361923.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.722.178.333.317,(349.504.452.363),2.372.673.880.954,2.647.814.265.912,2722178333317.0,-349504452363.0,2372673880954.0,2647814265912.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.131.249.483.546,(238.698.105.315),892.551.378.231,1.426.465.687.120,1131249483546.0,-238698105315.0,892551378231.0,1426465687120.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,611.059.486.331,(110.806.347.048),500.253.139.283,373.198.138.281,611059486331.0,-110806347048.0,500253139283.0,373198138281.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,233.000.407.211,-,233.000.407.211,256.776.400.000,233000407211.0,,233000407211.0,256776400000.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,746.868.956.229,-,746.868.956.229,591.374.040.511,746868956229.0,,746868956229.0,591374040511.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,280.595.789.065,(34.249.995.785),246.345.793.280,417.738.895.123,280595789065.0,-34249995785.0,246345793280.0,417738895123.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.158.722.205.897,(93.064.308.300),1.065.657.897.597,1.065.657.897.597,1158722205897.0,-93064308300.0,1065657897597.0,1065657897597.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,869.655.574.993,(235.839.320.722),633.816.254.271,639.526.103.259,869655574993.0,-235839320722.0,633816254271.0,639526103259.0
