row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,15.1,,,151.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,1.131.249.483.546,1.165.931.566.940,,1131249483546.0,1165931566940.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,611.059.486.331,444.338.998.664,,611059486331.0,444338998664.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,233.000.407.211,137.033.645.365,,233000407211.0,137033645365.0
Trái phiếu,Trái phiếu,Trái phiếu,,746.868.956.229,-,,746868956229.0,
,,,,2.722.178.333.317,1.747.304.210.969,,2722178333317.0,1747304210969.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,15.1,(349.504.452.363),(404.600.653.219),151.0,-349504452363.0,-404600653219.0
,,,,2.372.673.880.954,1.342.703.557.750,,2372673880954.0,1342703557750.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,15.2,,,152.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,18.430.007.299.944,14.342.363.023.979,,18430007299944.0,14342363023979.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,17.209.159.823.856,13.242.141.089.373,,17209159823856.0,13242141089373.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,284.851.389.901,297.256.550.049,,284851389901.0,297256550049.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,935.996.086.187,802.965.384.557,,935996086187.0,802965384557.0
Dải hạn,Dải hạn,Dải hạn,,37.410.739.200.652,30.948.780.262.406,,37410739200652.0,30948780262406.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,1.940.146.688.223,1.686.000.000.000,,1940146688223.0,1686000000000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,35.470.592.512.429,29.262.780.262.406,,35470592512429.0,29262780262406.0
,,,,55.840.746.500.596,45.291.143.286.385,,55840746500596.0,45291143286385.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,15.3,,,153.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",15.3.1,2.795.737.018.783,2.091.160.536.985,1531.0,2795737018783.0,2091160536985.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,15.3.2,399.533.150.523,396.694.408.423,1532.0,399533150523.0,396694408423.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,15.3.2,(34.249.995.785),(54.239.974.693),1532.0,-34249995785.0,-54239974693.0
,,,,3.161.020.173.521,2.433.614.970.715,,3161020173521.0,2433614970715.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,61.374.440.555.071,49.067.461.814.850,,61374440555071.0,49067461814850.0
