row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),17.651.759.823.856,17.209.159.823.856,13.684.741.089.373,13.242.141.089.373,17651759823856.0,17209159823856.0,13684741089373.0,13242141089373.0
Trái phiếu (iii),Ngắn hạn > Trái phiếu (iii),Trái phiếu (iii),674.752.316.502,284.851.389.901,467.256.550.049,297.256.550.049,674752316502.0,284851389901.0,467256550049.0,297256550049.0
- Trái phiếu doanh nghiệp,Ngắn hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,674.752.316.502,284.851.389.901,277.566.390.071,107.566.390.071,674752316502.0,284851389901.0,277566390071.0,107566390071.0
- Trái phiếu Chính phủ,Ngắn hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,-,-,189.690.159.978,189.690.159.978,,,189690159978.0,189690159978.0
Tạm ứng từ giá trị hoàn lại (iv),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (iv),Tạm ứng từ giá trị hoàn lại (iv),935.996.086.187,935.996.086.187,802.965.384.557,802.965.384.557,935996086187.0,935996086187.0,802965384557.0,802965384557.0
,,,19.262.508.226.545,18.430.007.299.944,14.954.963.023.979,14.342.363.023.979,19262508226545.0,18430007299944.0,14954963023979.0,14342363023979.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),1.940.146.688.223,1.940.146.688.223,1.686.000.000.000,1.686.000.000.000,1940146688223.0,1940146688223.0,1686000000000.0,1686000000000.0
Trái phiếu (iii),Dài hạn > Trái phiếu (iii),Trái phiếu (iii),35.470.592.512.429,35.470.592.512.429,29.357.730.725.706,29.262.780.262.406,35470592512429.0,35470592512429.0,29357730725706.0,29262780262406.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,3.466.511.571.924,3.466.511.571.924,4.030.938.806.204,3.935.988.342.904,3466511571924.0,3466511571924.0,4030938806204.0,3935988342904.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,32.004.080.940.505,32.004.080.940.505,25.326.791.919.502,25.326.791.919.502,32004080940505.0,32004080940505.0,25326791919502.0,25326791919502.0
,,,37.410.739.200.652,37.410.739.200.652,31.043.730.725.706,30.948.780.262.406,37410739200652.0,37410739200652.0,31043730725706.0,30948780262406.0
,,,56.673.247.427.197,55.840.746.500.596,45.998.693.749.685,45.291.143.286.385,56673247427197.0,55840746500596.0,45998693749685.0,45291143286385.0
