row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị thuần,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị thuần,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị thuần,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị thuần,numeric__Số đầu năm > Dự phòng
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,Công ty Cổ phần Tập đoàn Công nghệ,,,,,,
CMC,Công ty Cổ phần Tập đoàn Công nghệ > CMC,CMC,144.000.168.100,50.880.168.100,(93.120.000.000),144.000.084.700,50.540.884.700,(93.459.200.000),144000168100.0,50880168100.0,-93120000000.0,144000084700.0,50540884700.0,-93459200000.0
Công ty Cổ phần FPT,Công ty Cổ phần Tập đoàn Công nghệ > Công ty Cổ phần FPT,Công ty Cổ phần FPT,139.554.058.912,139.554.058.912,-,91.497.724.403,91.497.724.403,-,139554058912.0,139554058912.0,,91497724403.0,91497724403.0,
Ngân hàng TMCP Quản đội,Công ty Cổ phần Tập đoàn Công nghệ > Ngân hàng TMCP Quản đội,Ngân hàng TMCP Quản đội,134.300.627.746,134.300.627.746,-,173.655.554.129,173.655.554.129,-,134300627746.0,134300627746.0,,173655554129.0,173655554129.0,
Ngân hàng TMCP Ngoại thương Việt Nam,Công ty Cổ phần Tập đoàn Công nghệ > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,108.815.502.640,89.590.181.790,(19.225.320.850),108.815.050.570,82.181.355.470,(26.633.695.100),108815502640.0,89590181790.0,-19225320850.0,108815050570.0,82181355470.0,-26633695100.0
Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,,,,,,
Việt Nam,Công ty Cổ phần Vận tải biển > Việt Nam,Việt Nam,79.450.010.350,4.080.002.040,(75.370.008.310),89.533.343.350,12.150.005.400,(77.383.337.950),79450010350.0,4080002040.0,-75370008310.0,89533343350.0,12150005400.0,-77383337950.0
Cổ phiếu niêm yết khác,Công ty Cổ phần Vận tải biển > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,525.129.115.798,474.146.339.643,(50.982.776.155),558.429.809.788,476.937.297.476,(81.492.512.312),525129115798.0,474146339643.0,-50982776155.0,558429809788.0,476937297476.0,-81492512312.0
,,,1.131.249.483.546,892.551.378.231,(238.698.105.315),1.165.931.566.940,886.962.821.578,(278.968.745.362),1131249483546.0,892551378231.0,-238698105315.0,1165931566940.0,886962821578.0,-278968745362.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Tập đoàn SSG,Cổ phiếu chưa niêm yết > Tập đoàn SSG,Tập đoàn SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Tổng Công ty Cổ phần thiết bị điện Việt Nam,Cổ phiếu chưa niêm yết > Tổng Công ty Cổ phần thiết bị điện Việt Nam,Tổng Công ty Cổ phần thiết bị điện Việt Nam,180.897.856.607,179.814.310.001,(1.083.546.606),-,-,-,180897856607.0,179814310001.0,-1083546606.0,,,
