row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,47.121.363.746,(297.957),47.121.065.789,47121363746.0,-297957.0,47121065789.0
Các khoản phải thu - ngắn hạn,Các khoản phải thu - ngắn hạn,Các khoản phải thu - ngắn hạn,100.663.131.948,-,100.663.131.948,100663131948.0,,100663131948.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,1.402.446.290,-,1.402.446.290,1402446290.0,,1402446290.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.598.665.566,-,2.598.665.566,2598665566.0,,2598665566.0
Các khoản phải thu - dài hạn,Các khoản phải thu - dài hạn,Các khoản phải thu - dài hạn,2.500.000,-,2.500.000,2500000.0,,2500000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,993.428.359.565,168.571.171.464,1.161.999.531.029,993428359565.0,168571171464.0,1161999531029.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,168.877.529.132,-,168.877.529.132,168877529132.0,,168877529132.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,4.509.883.430,-,4.509.883.430,4509883430.0,,4509883430.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(94.997.894.941),-,(94.997.894.941),-94997894941.0,,-94997894941.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,(724.096.854.493),-,(724.096.854.493),-724096854493.0,,-724096854493.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,499.509.130.243,168.570.873.507,668.080.003.750,499509130243.0,168570873507.0,668080003750.0
Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,335.874.447.392,,,335874447392.0
Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,280.441.742.045,,,280441742045.0
Lãi từ giao dịch mua giá rễ (Thuyết minh 37),Lãi từ giao dịch mua giá rễ (Thuyết minh 37),Lãi từ giao dịch mua giá rễ (Thuyết minh 37),Lãi từ giao dịch mua giá rễ (Thuyết minh 37),Lãi từ giao dịch mua giá rễ (Thuyết minh 37),(55.432.705.347),,,-55432705347.0
Khoản thanh toán cho việc mua cổ phần của công ty con trong năm,Khoản thanh toán cho việc mua cổ phần của công ty con trong năm,Khoản thanh toán cho việc mua cổ phần của công ty con trong năm,Khoản thanh toán cho việc mua cổ phần của công ty con trong năm,Khoản thanh toán cho việc mua cổ phần của công ty con trong năm,95.760.000.000,,,95760000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(47.121.065.789),,,-47121065789.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,48.638.934.211,,,48638934211.0
