row_label_raw,row_label_full,col_0,col_1,Địa chỉ,31/12/2016,31/12/2016_1,1/1/2016,1/1/2016_1,numeric__col_1,numeric__Địa chỉ,numeric__31/12/2016,numeric__31/12/2016_1,numeric__1/1/2016,numeric__1/1/2016_1
,,,,Địa chỉ,% sở hữu,Quyền biểu quyết,% sở hữu,Quyền biểu quyết,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
1,Công ty con > 1,1,Công ty CP Hà Đô 1,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
2,Công ty con > 2,2,Công ty CP Hà Đô 23,Hà Nội,60%,60%,60%,60%,,,0.6,0.6,0.6,0.6
3,Công ty con > 3,3,Công ty CP Hà Đô 4,TP. Hồ Chí Minh,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
4,Công ty con > 4,4,Công ty CP Đầu tư Khánh Hà (i),TP. Nha Trang,65%,65%,30%,30%,,,0.65,0.65,0.3,0.3
5,Công ty con > 5,5,Công ty CP Hà Đô - 756 Sài Gòn,TP. Hồ Chí Minh,"70,8%","70,8%",65%,65%,,,0.708,0.708,0.65,0.65
6,Công ty con > 6,6,Công ty CP Cơ điện Xây dựng - Thiết bị Công nghiệp Hà Đô,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
7,Công ty con > 7,7,Công ty CP Tư vấn Hà Đô,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
8,Công ty con > 8,8,Công ty CP Za Hưng (*),Hà Nội,54%,54%,37%,37%,,,0.54,0.54,0.37,0.37
9,Công ty con > 9,9,Công ty CP Thủy điện Sông Tranh 4 (**),Quảng Nam,"76,5%",99%,-,-,,,0.765,0.99,,
10,Công ty con > 10,10,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (***),"Viên Chăn, Lào",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
11,Công ty con > 11,11,Công ty TNHH MTV Kinh doanh và Môi giới Bất động sản Hà Đô,Hà Nội,100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
12,Công ty con > 12,12,Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô,TP. Hồ Chí Minh,100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
1,Công ty liên kết > 1,1,Công ty CP Thương mại Hà Đô,TP. Hồ Chí Minh,29%,29%,29%,29%,,,0.29,0.29,0.29,0.29
2,Công ty liên kết > 2,2,Công ty TNHH Hỗn hợp Dịch Vọng,Hà Nội,50%,50%,-,-,,,0.5,0.5,,
