row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ sở hữuvà quyềnbiểu quyết,31/12/2016 > Giá trị ghi sốVND,31/12/2016 > Giá trịhợp lýVND,numeric__Địa chỉ,numeric__Tỷ lệ sở hữuvà quyềnbiểu quyết,numeric__31/12/2016 > Giá trị ghi sốVND,numeric__31/12/2016 > Giá trịhợp lýVND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty CP Thương mại Hà Đô,Công ty liên kết > Công ty CP Thương mại Hà Đô,Công ty CP Thương mại Hà Đô,TP. Hồ Chí Minh,29%,515.252.409,(*),,0.29,515252409.0,
Công ty TNHH Hỗn hợp Dịch Vọng,Công ty liên kết > Công ty TNHH Hỗn hợp Dịch Vọng,Công ty TNHH Hỗn hợp Dịch Vọng,Hà Nội,50%,10.000.000,(*),,0.5,10000000.0,
,,,,,525.252.409,(*),,,525252409.0,
,,,,,1/1/2016,1/1/2016,,,,
,,,Địa chỉ,Tỷ lệ sở hữuvà quyềnbiểu quyết,Giá trị ghi sốVND,Giá trịhợp lýVND,,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty CP Za Hưng (**),Công ty liên kết > Công ty CP Za Hưng (**),Công ty CP Za Hưng (**),Hà Nội,37%,190.520.723.694,(*),,0.37,190520723694.0,
Công ty CP Thương mại Hà Đô,Công ty liên kết > Công ty CP Thương mại Hà Đô,Công ty CP Thương mại Hà Đô,TP. Hồ Chí Minh,29%,412.619.905,(*),,0.29,412619905.0,
,,,,,190.933.343.599,(*),,,190933343599.0,
