row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,16.547.854.022,-,16.547.854.022,16547854022.0,,16547854022.0
Các khoản phải thu - ngắn hạn,Các khoản phải thu - ngắn hạn,Các khoản phải thu - ngắn hạn,198.253.615.200,-,198.253.615.200,198253615200.0,,198253615200.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,234.269.426,-,234.269.426,234269426.0,,234269426.0
Các khoản phải thu - dài hạn,Các khoản phải thu - dài hạn,Các khoản phải thu - dài hạn,4.810.600.000,-,4.810.600.000,4810600000.0,,4810600000.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,50.001.192.058,-,50.001.192.058,50001192058.0,,50001192058.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(820.159.923),-,(820.159.923),-820159923.0,,-820159923.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,269.027.370.783,-,269.027.370.783,269027370783.0,,269027370783.0
Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm kiểm soát,202.735.294.030,,,202735294030.0
Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,Giá phí khoản đầu tư vào công ty con,214.538.554.672,,,214538554672.0
Lợi thế thương mại phát sinh từ việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại,11.803.260.642,,,11803260642.0
Khoản thanh toán cho việc mua thêm cổ phần chuyển công ty liên kết thành công ty con trong năm,Khoản thanh toán cho việc mua thêm cổ phần chuyển công ty liên kết thành công ty con trong năm,Khoản thanh toán cho việc mua thêm cổ phần chuyển công ty liên kết thành công ty con trong năm,Khoản thanh toán cho việc mua thêm cổ phần chuyển công ty liên kết thành công ty con trong năm,Khoản thanh toán cho việc mua thêm cổ phần chuyển công ty liên kết thành công ty con trong năm,281.843.258.400,,,281843258400.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(16.547.854.022),,,-16547854022.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,265.295.404.378,,,265295404378.0
