row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,651.542.050.000,-,(6.210.000),2.915.170.027,30.042.536.531,173.156.886.548,193.664.347.780,1.051.314.780.886,651542050000.0,,-6210000.0,2915170027.0,30042536531.0,173156886548.0,193664347780.0,1051314780886.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,32.576.790.000,-,-,-,-,(32.576.790.000),-,-,32576790000.0,,,,,-32576790000.0,,
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,-,135.125.000.000,135.125.000.000,,,,,,,135125000000.0,135125000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,123.458.764.551,15.766.875.771,139.225.640.322,,,,,,123458764551.0,15766875771.0,139225640322.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,3.095.225.835,-,-,-,3.095.225.835,,,,3095225835.0,,,,3095225835.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,124.689.378,(124.689.378),-,-,,,,,124689378.0,-124689378.0,,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(13.759.928.300),(13.759.928.300),,,,,,,-13759928300.0,-13759928300.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(2.350.000),-,-,-,-,(2.350.000),,,-2350000.0,,,,,-2350000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(4.020.000.000),-,(4.020.000.000),,,,,,-4020000000.0,,-4020000000.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,(3.321.079.037),2.553.140.546,(3.477.409.369),(4.245.347.860),,,,,-3321079037.0,2553140546.0,-3477409369.0,-4245347860.0
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,684.118.840.000,-,(8.560.000),6.010.395.862,26.846.146.872,262.447.312.267,327.318.885.882,1.306.733.020.883,684118840000.0,,-8560000.0,6010395862.0,26846146872.0,262447312267.0,327318885882.0,1306733020883.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,69.046.560.000,-,-,-,-,(69.046.560.000),-,-,69046560000.0,,,,,-69046560000.0,,
Phát hành cổ phiếu và góp vốn,Phát hành cổ phiếu và góp vốn,Phát hành cổ phiếu và góp vốn,6.515.400.000,(33.000.000),-,-,-,-,32.242.121.700,38.724.521.700,6515400000.0,-33000000.0,,,,,32242121700.0,38724521700.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,235.569.824.463,16.584.839.995,252.154.664.458,,,,,,235569824463.0,16584839995.0,252154664458.0
