row_label_raw,row_label_full,Năm 2015,Kinh doanh bất động sản VND,Xây dựng VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,617.751.255.735,786.281.355.465,75.894.633.207,-,1.479.927.244.407,617751255735.0,786281355465.0,75894633207.0,,1479927244407.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,197.417.879.959,35.433.223.081,(232.851.103.040),-,,197417879959.0,35433223081.0,-232851103040.0,
Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,617.751.255.735,983.699.235.424,111.327.856.288,(232.851.103.040),1.479.927.244.407,617751255735.0,983699235424.0,111327856288.0,-232851103040.0,1479927244407.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,115.788.190.197,68.512.757.791,39.234.303.668,6.296.244.763,229.831.496.419,115788190197.0,68512757791.0,39234303668.0,6296244763.0,229831496419.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,14.189.201.354,,,,,14189201354.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(86.705.935.239),,,,,-86705935239.0
Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,,,,,27.919.414.958,,,,,27919414958.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,(43.725.665.762),,,,,-43725665762.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,(2.282.871.408),,,,,-2282871408.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,139.225.640.322,,,,,139225640322.0
