row_label_raw,row_label_full,col_0,1/1/2016Giá trị ghi số và sốcó khả năng trả nợVND,Tăng do hợp nhất côngty con mới trong nămVND,TăngVND,GiảmVND,31/12/2016Giá trị ghi số và sốcó khả năng trả nợVND,numeric__1/1/2016Giá trị ghi số và sốcó khả năng trả nợVND,numeric__Tăng do hợp nhất côngty con mới trong nămVND,numeric__TăngVND,numeric__GiảmVND,numeric__31/12/2016Giá trị ghi số và sốcó khả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,124.077.998.969,-,1.945.587.823.733,(1.933.514.773.960),136.151.048.742,124077998969.0,,1945587823733.0,-1933514773960.0,136151048742.0
Vay dài hạn đến hạn trả (Thuyết minh 25(b)),Vay dài hạn đến hạn trả (Thuyết minh 25(b)),Vay dài hạn đến hạn trả (Thuyết minh 25(b)),2.226.800.000,70.484.152.000,213.125.244.557,(72.639.118.000),213.197.078.557,2226800000.0,70484152000.0,213125244557.0,-72639118000.0,213197078557.0
,,,126.304.798.969,70.484.152.000,2.158.713.068.290,(2.006.153.891.960),349.348.127.299,126304798969.0,70484152000.0,2158713068290.0,-2006153891960.0,349348127299.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,
,,,,Thuyếtminh,Loại tiền,Lãi suấtnăm,31/12/2016VND,,,,,
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh 1,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh 1,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh 1,,(i),VND,"7,8%",2.452.689.928,,,,0.078,2452689928.0
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,,(ii),VND,8%,877.012.495,,,,0.08,877012495.0
Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,,(iii),VND,"9,3%",50.000.000.000,,,,0.09300000000000001,50000000000.0
Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,,(iv),VND,"7,5% - 8%",699.493.200,,,,,699493200.0
Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,,(v),VND,"9,5%",2.330.000.000,,,,0.095,2330000000.0
Vay cá nhân,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay cá nhân,Vay cá nhân,,(vi),VND,0% - 11%,79.791.853.119,,,,,79791853119.0
,,,,,,,136.151.048.742,,,,,136151048742.0
