row_label_raw,row_label_full,Năm 2016,Kinh doanh bất động sản VND,Xây dựng VND,Thủy điện VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Thủy điện VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,1.073.448.188.104,630.887.050.306,194.546.103.337,89.612.486.835,-,1.988.493.828.582,1073448188104.0,630887050306.0,194546103337.0,89612486835.0,,1988493828582.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,482.405.963.656,-,47.306.081.540,(529.712.045.196),-,,482405963656.0,,47306081540.0,-529712045196.0,
Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,1.073.448.188.104,1.113.293.013.962,194.546.103.337,136.918.568.375,(529.712.045.196),1.988.493.828.582,1073448188104.0,1113293013962.0,194546103337.0,136918568375.0,-529712045196.0,1988493828582.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,394.097.247.665,84.174.437.748,136.645.121.466,51.419.970.910,(93.113.958.363),573.222.819.426,394097247665.0,84174437748.0,136645121466.0,51419970910.0,-93113958363.0,573222819426.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,77.328.111.652,,,,,,77328111652.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(365.141.009.623),,,,,,-365141009623.0
Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,,,,,,7.764.580.855,,,,,,7764580855.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(75.010.668.386),,,,,,-75010668386.0
Lợi ích thuế thu nhập doanh nghiệp hoãn lại,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,,,,,,33.990.830.534,,,,,,33990830534.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,252.154.664.458,,,,,,252154664458.0
