row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,14.002.198.002,102.068.844.636,19.000.207.241,11.835.088.171,10.927.615.770,157.833.953.820,14002198002.0,102068844636.0,19000207241.0,11835088171.0,10927615770.0,157833953820.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,158.218.600,17.258.407.917,1.432.535.818,2.078.972.312,1.265.173.636,22.193.308.283,158218600.0,17258407917.0,1432535818.0,2078972312.0,1265173636.0,22193308283.0
Chuyển từ tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,15.549.227.748,-,-,-,-,15.549.227.748,15549227748.0,,,,,15549227748.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,1.147.157.471,-,-,1.147.157.471,,,1147157471.0,,,1147157471.0
Tăng do hợp nhất công ty con mới trong năm,Nguyên giá > Tăng do hợp nhất công ty con mới trong năm,Tăng do hợp nhất công ty con mới trong năm,891.626.149.045,578.838.728.510,103.827.111.785,2.102.834.281,-,1.576.394.823.621,891626149045.0,578838728510.0,103827111785.0,2102834281.0,,1576394823621.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(866.305.991),(342.299.014),(181.818.182),-,-,(1.390.423.187),-866305991.0,-342299014.0,-181818182.0,,,-1390423187.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,268.599.078,116.450.000,-,(385.049.078),-,-,268599078.0,116450000.0,,-385049078.0,,
Chênh lệch tỷ giá hối đoái do quy đổi đơn vị tiền tệ báo cáo,Nguyên giá > Chênh lệch tỷ giá hối đoái do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá hối đoái do quy đổi đơn vị tiền tệ báo cáo,-,-,-,(48.861.978),-,(48.861.978),,,,-48861978.0,,-48861978.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,920.738.086.482,697.940.132.049,125.225.194.133,15.582.983.708,12.192.789.406,1.771.679.185.778,920738086482.0,697940132049.0,125225194133.0,15582983708.0,12192789406.0,1771679185778.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.038.331.908,71.633.048.844,14.951.885.427,8.123.284.717,10.652.048.659,116.398.599.555,11038331908.0,71633048844.0,14951885427.0,8123284717.0,10652048659.0,116398599555.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,29.103.905.628,35.735.978.665,6.033.203.599,1.239.456.764,1.018.446.980,73.130.991.636,29103905628.0,35735978665.0,6033203599.0,1239456764.0,1018446980.0,73130991636.0
Tăng do hợp nhất công ty con mới trong năm,Giá trị hao mòn lũy kế > Tăng do hợp nhất công ty con mới trong năm,Tăng do hợp nhất công ty con mới trong năm,188.450.109.894,200.047.680.125,24.990.536.506,906.966.067,-,414.395.292.592,188450109894.0,200047680125.0,24990536506.0,906966067.0,,414395292592.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(342.299.014),(33.333.333),-,-,(375.632.347),,-342299014.0,-33333333.0,,,-375632347.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,101.222.067,144.522.315,-,(245.744.382),-,-,101222067.0,144522315.0,,-245744382.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,228.693.569.497,307.218.930.935,45.942.292.199,10.023.963.166,11.670.495.639,603.549.251.436,228693569497.0,307218930935.0,45942292199.0,10023963166.0,11670495639.0,603549251436.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.963.866.094,30.435.795.792,4.048.321.814,3.711.803.454,275.567.111,41.435.354.265,2963866094.0,30435795792.0,4048321814.0,3711803454.0,275567111.0,41435354265.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,692.044.516.985,390.721.201.114,79.282.901.934,5.559.020.542,522.293.767,1.168.129.934.342,692044516985.0,390721201114.0,79282901934.0,5559020542.0,522293767.0,1168129934342.0
