row_label_raw,row_label_full,col_0,Số cổ phiếu phổ thông bình quân gia quyền (Cổ phiếu),Lãi cơ bản trên cổ phiếu VND,numeric__Số cổ phiếu phổ thông bình quân gia quyền (Cổ phiếu),numeric__Lãi cơ bản trên cổ phiếu VND
Số cáo trước đây,Số cáo trước đây,Số cáo trước đây,68.411.028,1.085,68411028.0,1085.0
Cổ phiếu phát hành từ lợi nhuận chưa phân phối,Cổ phiếu phát hành từ lợi nhuận chưa phân phối,Cổ phiếu phát hành từ lợi nhuận chưa phân phối,6.904.656,(166),6904656.0,-166.0
Số đã điều chỉnh lại,Số đã điều chỉnh lại,Số đã điều chỉnh lại,75.315.684,1.639,75315684.0,1639.0
