row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Năm 2016 VND,Năm 2015 VND,numeric__Mối quan hệ,numeric__Năm 2016 VND,numeric__Năm 2015 VND
Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,,,
Phạm Quang Dũng,Giao dịch bán hàng > Phạm Quang Dũng,Phạm Quang Dũng,Chủ tịch,50.818.414.652,-,,50818414652.0,
Phạm Văn Lương,Giao dịch bán hàng > Phạm Văn Lương,Phạm Văn Lương,Phó Chủ tịch,16.632.837.273,-,,16632837273.0,
Phạm Thị Chi,Giao dịch bán hàng > Phạm Thị Chi,Phạm Thị Chi,Ủy viên,9.094.639.232,-,,9094639232.0,
Phạm Thị Nhàn,Giao dịch bán hàng > Phạm Thị Nhàn,Phạm Thị Nhàn,Ủy viên,7.682.353.579,-,,7682353579.0,
Trần Thanh Long,Giao dịch bán hàng > Trần Thanh Long,Trần Thanh Long,Người có liên quan với thành viên HĐQT,8.620.851.569,-,,8620851569.0,
Trần Thị Thanh Tân,Giao dịch bán hàng > Trần Thị Thanh Tân,Trần Thị Thanh Tân,Ủy viên,7.682.353.580,-,,7682353580.0,
Vũ Duy Hưng,Giao dịch bán hàng > Vũ Duy Hưng,Vũ Duy Hưng,Người có liên quan với thành viên HĐQT,8.286.559.129,-,,8286559129.0,
Nguyễn Ngọc Hùng,Giao dịch bán hàng > Nguyễn Ngọc Hùng,Nguyễn Ngọc Hùng,Ủy viên,5.829.439.408,-,,5829439408.0,
Đỗ Thị Thúy Hằng,Giao dịch bán hàng > Đỗ Thị Thúy Hằng,Đỗ Thị Thúy Hằng,Người có liên quan với thành viên BGD,4.578.249.971,-,,4578249971.0,
Phạm Thanh Tâm,Giao dịch bán hàng > Phạm Thanh Tâm,Phạm Thanh Tâm,Người có liên quan với thành viên HĐQT,19.888.908.405,-,,19888908405.0,
