row_label_raw,row_label_full,5.14,Chi phí phải trả,Chi phí phải trả_1,Chi phí phải trả_2,numeric__Chi phí phải trả,numeric__Chi phí phải trả_1,numeric__Chi phí phải trả_2
5.14,5.14,5.14,,31/12/2016VND,01/01/2016VND,,,
,,,Ngắn hạn,40.444.232.127,97.852.658.543,,40444232127.0,97852658543.0
,,,-Trích trước giá vốn - Dự án Vân Canh,13.310.749.578,13.402.403.212,,13310749578.0,13402403212.0
,,,-Trích trước giá vốn - DA Khu Nhà ở sinh thái Xuân Phương,-,31.954.251.322,,,31954251322.0
,,,"-Trích trước lãi trái phiếu chuyển đổi, lãi vay",19.378.209.890,12.673.250.000,,19378209890.0,12673250000.0
,,,-Chi phí phải trả khác,7.755.272.659,39.822.754.009,,7755272659.0,39822754009.0
,,,Tổng,40.444.232.127,97.852.658.543,,40444232127.0,97852658543.0
5.15,5.15,5.15,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,,,
5.15,5.15,5.15,,31/12/2016VND,01/01/2016VND,,,
,,,Ngắn hạn,22.727.272,22.727.272,,22727272.0,22727272.0
,,,Doanh thu nhận trước,22.727.272,22.727.272,,22727272.0,22727272.0
,,,Dài hạn,283.659.965,306.387.237,,283659965.0,306387237.0
,,,Doanh thu nhận trước,283.659.965,306.387.237,,283659965.0,306387237.0
,,,Tổng,306.387.237,329.114.509,,306387237.0,329114509.0
5.16,5.16,5.16,Phải trả khác,Phải trả khác,Phải trả khác,,,
5.16,5.16,5.16,,31/12/2016VND,01/01/2016VND,,,
,,,Ngắn hạn,380.722.104.553,53.413.206.224,,380722104553.0,53413206224.0
,,,Kinh phí công đoàn,252.000.091,338.759.179,,252000091.0,338759179.0
,,,Bảo hiểm xã hội,180.287.156,96.792.280,,180287156.0,96792280.0
,,,Bảo hiểm y tế,30.892.194,16.497.235,,30892194.0,16497235.0
,,,Bảo hiểm thất nghiệp,13.835.421,7.445.560,,13835421.0,7445560.0
,,,"Cổ tức, lợi nhuận phải trả",7.054.031.620,4.569.702.800,,7054031620.0,4569702800.0
,,,"Phải trả, phải nộp khác",373.191.058.071,48.384.009.170,,373191058071.0,48384009170.0
,,,- Khách hàng dự án Báo nhân dân (*),53.761.340.486,-,,53761340486.0,
,,,- Khách hàng dự án khu nhà ở sinh thái Xuân Phương (*),68.344.693.722,-,,68344693722.0,
,,,-Khách hàng DA Văn phòng TW Đảng(*),203.870.817.122,-,,203870817122.0,
,,,- Các khoản khác,47.214.206.741,48.384.009.170,,47214206741.0,48384009170.0
,,,Dài hạn,952.103.446.757,1.037.775.003.208,,952103446757.0,1037775003208.0
,,,Công ty CP Tư vấn Đầu tư XD Hà Việt(**),376.475.300.000,386.475.300.000,,376475300000.0,386475300000.0
,,,CP sử dụng đất DA ĐV ở 3 - Đối trừ BT Lê Đức Thọ,332.362.670.049,88.763.373.569,,332362670049.0,88763373569.0
,,,Các khoản phải trả dài hạn khác (***),243.265.476.708,562.536.329.639,,243265476708.0,562536329639.0
,,,Tổng,1.332.825.551.310,1.091.188.209.432,,1332825551310.0,1091188209432.0
