row_label_raw,row_label_full,Số dư với các bên liên quan,Số dư với các bên liên quan_1,Số dư với các bên liên quan_2,numeric__Số dư với các bên liên quan_1,numeric__Số dư với các bên liên quan_2
,,,31/12/2016VND,01/01/2016VND,,
1. Các khoản phải thu,1. Các khoản phải thu,1. Các khoản phải thu,47.949.660.151,276.721.487.987,47949660151.0,276721487987.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Công ty CP Bất động sản Thái An,Phải thu khách hàng > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,1.515.400.000,132.102.200.000,1515400000.0,132102200000.0
Tổng Công ty Thăng Long - CTCP,Phải thu khách hàng > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,148.500.000,-,148500000.0,
Phải thu khác,Phải thu khác,Phải thu khác,,,,
Công ty CP Bất động sản Thái An,Phải thu khác > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,351.264.800,351.264.800,351264800.0,351264800.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,,,
Tổng Công ty Thăng Long - CTCP,Trả trước cho người bán > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,45.934.495.351,144.268.023.187,45934495351.0,144268023187.0
2. Các khoản phải trả,Trả trước cho người bán > 2. Các khoản phải trả,2. Các khoản phải trả,18.341.586.605,617.968.605,18341586605.0,617968605.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,,,
Công ty CP Bất động sản Thái An,Phải trả người bán > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,617.968.605,617.968.605,617968605.0,617968605.0
Tổng Công ty Thăng Long - CTCP,Phải trả người bán > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,17.723.618.000,-,17723618000.0,
