row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhửu hình khác,Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhửu hình khác,numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2016,NGUYÊN GIÁ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,26.285.074.127,8.334.589.727,30.079.150.644,8.340.384.459,2.589.225.181.915,2.662.264.380.872,26285074127.0,8334589727.0,30079150644.0,8340384459.0,2589225181915.0,2662264380872.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,733.291.090,2.770.493.717,1.945.413.839,-,5.449.198.646,,733291090.0,2770493717.0,1945413839.0,,5449198646.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,733.291.090,2.770.493.717,1.358.276.566,-,4.862.061.373,,733291090.0,2770493717.0,1358276566.0,,4862061373.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,-,,587.137.273,-,587.137.273,,,,587137273.0,,587137273.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,441.682.727,2.728.012.727,-,3.654.367.373,6.824.062.827,,441682727.0,2728012727.0,,3654367373.0,6824062827.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,2.728.012.727,-,-,2.728.012.727,,,2728012727.0,,,2728012727.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,441.682.727,,-,145.454.546,587.137.273,,441682727.0,,,145454546.0,587137273.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,,,,3.508.912.827,3.508.912.827,,,,,3508912827.0,3508912827.0
Số dư tại 31/12/2016,NGUYÊN GIÁ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,26.285.074.127,8.626.198.090,30.121.631.634,10.285.798.298,2.585.570.814.542,2.660.889.516.691,26285074127.0,8626198090.0,30121631634.0,10285798298.0,2585570814542.0,2660889516691.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,11.776.393.279,2.973.826.616,8.878.752.512,4.846.641.962,193.271.628.003,221.747.242.372,11776393279.0,2973826616.0,8878752512.0,4846641962.0,193271628003.0,221747242372.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.584.135.382,1.589.081.361,4.047.725.345,804.701.203,169.242.513.880,178.268.157.171,2584135382.0,1589081361.0,4047725345.0,804701203.0,169242513880.0,178268157171.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,2.584.135.382,1.589.081.361,4.047.725.345,763.869.057,169.242.513.880,178.227.325.025,2584135382.0,1589081361.0,4047725345.0,763869057.0,169242513880.0,178227325025.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,,-,40.832.146,-,40.832.146,,,,40832146.0,,40832146.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,30.641.532,1.904.115.593,-,10.190.614,1.944.947.739,,30641532.0,1904115593.0,,10190614.0,1944947739.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.904.115.593,-,-,1.904.115.593,,,1904115593.0,,,1904115593.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,,30.641.532,,-,10.190.614,40.832.146,,30641532.0,,,10190614.0,40832146.0
Số dư tại 31/12/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,14.360.528.661,4.532.266.445,11.022.362.264,5.651.343.165,362.503.951.269,398.070.451.804,14360528661.0,4532266445.0,11022362264.0,5651343165.0,362503951269.0,398070451804.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
