row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán nhưng khó có khả năng thu hồi,31/12/2016 > Giá gốc > 3.770.860.699,31/12/2016 > Giá trị có thể thu hồi > -,01/01/2016 > Giá gốc > 3.472.761.173 > Quá hạn trên 01 năm,01/01/2016 > Giá trị có thể thu hồi > - > Quá hạn trên 03 năm,numeric__31/12/2016 > Giá gốc > 3.770.860.699,numeric__31/12/2016 > Giá trị có thể thu hồi > -,numeric__01/01/2016 > Giá gốc > 3.472.761.173 > Quá hạn trên 01 năm,numeric__01/01/2016 > Giá trị có thể thu hồi > - > Quá hạn trên 03 năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
UBND huyện Giao thuỷ,Ngắn hạn > UBND huyện Giao thuỷ,UBND huyện Giao thuỷ,,,-,75.681.173,,,,75681173.0
Ban QLDA khu vực TP Nam Định,Ngắn hạn > Ban QLDA khu vực TP Nam Định,Ban QLDA khu vực TP Nam Định,,,-,49.901.000,,,,49901000.0
Công ty CP LICOGI 13,Ngắn hạn > Công ty CP LICOGI 13,Công ty CP LICOGI 13,,,-,325.974.526,,,,325974526.0
Công ty CP PTMT KCN & đô thị Việt Nhật,Ngắn hạn > Công ty CP PTMT KCN & đô thị Việt Nhật,Công ty CP PTMT KCN & đô thị Việt Nhật,,,-,109.450.000,,,,109450000.0
Công ty CP tư vấn công trình và kỹ nghệ Đình Cao,Ngắn hạn > Công ty CP tư vấn công trình và kỹ nghệ Đình Cao,Công ty CP tư vấn công trình và kỹ nghệ Đình Cao,,,-,59.854.000,,,,59854000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty IT Fusion,Dài hạn > Công ty IT Fusion,Công ty IT Fusion,,,3.150.000.000,-,,,3150000000.0,
Tổng,Dài hạn > Tổng,Tổng,,,3.150.000.000,620.860.699,,,3150000000.0,620860699.0
