row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm tin học,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm tin học,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2016,NGUYÊN GIÁ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,102.878.251,1.147.816.637,1.250.694.888,102878251.0,1147816637.0,1250694888.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,316.168.000,316.168.000,,316168000.0,316168000.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,316.168.000,316.168.000,,316168000.0,316168000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2016,Giảm trong năm > Số dư tại 31/12/2016,Số dư tại 31/12/2016,102.878.251,1.463.984.637,1.566.862.888,102878251.0,1463984637.0,1566862888.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,38.673.408,921.443.411,960.116.819,38673408.0,921443411.0,960116819.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,4.286.592,97.090.802,101.377.394,4286592.0,97090802.0,101377394.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,4.286.592,97.090.802,101.377.394,4286592.0,97090802.0,101377394.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2016,Giảm trong năm > Số dư tại 31/12/2016,Số dư tại 31/12/2016,42.960.000,1.018.534.213,1.061.494.213,42960000.0,1018534213.0,1061494213.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại 01/01/2016,Tại 01/01/2016,64.204.843,226.373.226,290.578.069,64204843.0,226373226.0,290578069.0
Tại 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại 31/12/2016,Tại 31/12/2016,59.918.251,445.450.424,505.368.675,59918251.0,445450424.0,505368675.0
