row_label_raw,row_label_full,Số dư tại 01/01/2015 > Tăng trong năm,Vốn đầu tư của chủ sở hữu > 946.474.910.000,Thặng dư vốn cổ phần > 3.734.064.565,Quỹ đầu tư phát triển > 46.899.878.364,Lợi nhuận sau thuế chưa phân phối > 298.760.705.145,Đơn vị tính: VND Tổng > 1.295.869.558.074,numeric__Vốn đầu tư của chủ sở hữu > 946.474.910.000,numeric__Thặng dư vốn cổ phần > 3.734.064.565,numeric__Quỹ đầu tư phát triển > 46.899.878.364,numeric__Lợi nhuận sau thuế chưa phân phối > 298.760.705.145,numeric__Đơn vị tính: VND Tổng > 1.295.869.558.074
Tăng vốn,Tăng vốn,Tăng vốn,337.572.420.000,70.000.000.000,-,-,407.572.420.000,337572420000.0,70000000000.0,,,407572420000.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,25.881.942.307,-,25.881.942.307,,,25881942307.0,,25881942307.0
Lãi,Lãi,Lãi,-,-,-,160.165.180.348,160.165.180.348,,,,160165180348.0,160165180348.0
Tăng khác,Tăng khác,Tăng khác,,,,6.731.760.095,6.731.760.095,,,,6731760095.0,6731760095.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,,,,,,
Trích lập các quỹ,Giảm trong năm > Trích lập các quỹ,Trích lập các quỹ,-,-,-,36.241.265.256,36.241.265.256,,,,36241265256.0,36241265256.0
Chia trả cổ tức tại công ty mẹ,Giảm trong năm > Chia trả cổ tức tại công ty mẹ,Chia trả cổ tức tại công ty mẹ,-,-,-,137.572.420.000,137.572.420.000,,,,137572420000.0,137572420000.0
Giảm khác,Giảm trong năm > Giảm khác,Giảm khác,-,3.495.716.132,-,-,3.495.716.132,,3495716132.0,,,3495716132.0
Số dư tại 31/12/2015,Giảm trong năm > Số dư tại 31/12/2015,Số dư tại 31/12/2015,1.284.047.330.000,70.238.348.433,72.781.820.671,291.843.960.332,1.718.911.459.436,1284047330000.0,70238348433.0,72781820671.0,291843960332.0,1718911459436.0
Số dư tại 01/01/2016,Giảm trong năm > Số dư tại 01/01/2016,Số dư tại 01/01/2016,1.284.047.330.000,70.238.348.433,72.781.820.671,291.843.960.332,1.718.911.459.436,1284047330000.0,70238348433.0,72781820671.0,291843960332.0,1718911459436.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,,,,,,,,,,
Tăng vốn,Tăng trong kỳ > Tăng vốn,Tăng vốn,479.246.830.000,-,-,-,479.246.830.000,479246830000.0,,,,479246830000.0
Lãi trong kỳ,Tăng trong kỳ > Lãi trong kỳ,Lãi trong kỳ,-,-,-,403.235.110.153,403.235.110.153,,,,403235110153.0,403235110153.0
Phân phối lợi nhuận,Tăng trong kỳ > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,7.989.997.090,-,7.989.997.090,,,7989997090.0,,7989997090.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,,,,,,,,,,
Trích lập các quỹ và,Giảm trong kỳ > Trích lập các quỹ và,Trích lập các quỹ và,-,-,-,15.968.400.000,15.968.400.000,,,,15968400000.0,15968400000.0
Chia trả cổ tức tại công ty mẹ,Giảm trong kỳ > Chia trả cổ tức tại công ty mẹ,Chia trả cổ tức tại công ty mẹ,-,-,-,174.092.021.100,174.092.021.100,,,,174092021100.0,174092021100.0
Giảm khác (*),Giảm trong kỳ > Giảm khác (*),Giảm khác (*),-,397.421.474,-,2.712.260.471,3.109.681.945,,397421474.0,,2712260471.0,3109681945.0
Số dư tại 31/12/2016,Giảm trong kỳ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,1.763.294.160.000,69.840.926.959,80.771.817.761,502.306.388.914,2.416.213.293.634,1763294160000.0,69840926959.0,80771817761.0,502306388914.0,2416213293634.0
