row_label_raw,row_label_full,col_0,31/12/2016 > Giá trị ghi số,31/12/2016 > Dự phòng,01/01/2016 > Giá trị ghi số,01/01/2016 > Dự phòng,numeric__31/12/2016 > Giá trị ghi số,numeric__31/12/2016 > Dự phòng,numeric__01/01/2016 > Giá trị ghi số,numeric__01/01/2016 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,306.368.428.036,-,126.653.633.499,-,306368428036.0,,126653633499.0,
"- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia",6.153.983.574,-,2.687.264.300,-,6153983574.0,,2687264300.0,
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",99.470.000,-,593.770.000,-,99470000.0,,593770000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,30.263.010.737,-,40.041.711.975,-,30263010737.0,,40041711975.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,269.851.963.725,-,83.330.887.224,-,269851963725.0,,83330887224.0,
Ban QLDA Quận Nam Từ Liêm,Ban QLDA Quận Nam Từ Liêm,Ban QLDA Quận Nam Từ Liêm,27.284.014.016,,4.271.802.600,-,27284014016.0,,4271802600.0,
Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,11.616.738.417,-,14.170.795.112,-,11616738417.0,,14170795112.0,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,230.951.211.292,-,64.888.289.512,-,230951211292.0,,64888289512.0,
Dài hạn,Dài hạn,Dài hạn,76.237.563.328,-,3.273.104.515,-,76237563328.0,,3273104515.0,
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",3.652.528.023,-,3.273.104.515,-,3652528023.0,,3273104515.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,72.585.035.305,-,-,-,72585035305.0,,,
Tổng,Tổng,Tổng,382.605.991.364,-,129.926.738.014,-,382605991364.0,,129926738014.0,
