row_label_raw,row_label_full,col_0,Xây lắp và hoạt động khác,"Đầu tư, kinh doanh BDS",Dịch vụ thu phí đường bộ,Tổng,numeric__Xây lắp và hoạt động khác,"numeric__Đầu tư, kinh doanh BDS",numeric__Dịch vụ thu phí đường bộ,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,4.307.491.019,1.514.950.194.387,715.688.952.510,2.234.946.637.916,4307491019.0,1514950194387.0,715688952510.0,2234946637916.0
Tài sản cố định không thể phân bổ,TÀI SẢN > Tài sản cố định không thể phân bổ,Tài sản cố định không thể phân bổ,-,-,-,28.377.795.646,,,,28377795646.0
Xây dựng cơ bản dở dang,TÀI SẢN > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,,4.145.822.652.518,,4.145.822.652.518,,4145822652518.0,,4145822652518.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,493.434.327.231,1.097.009.144.840,60.936.648.463,1.651.380.120.534,493434327231.0,1097009144840.0,60936648463.0,1651380120534.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,41.507.715.279,-,-,41.507.715.279,41507715279.0,,,41507715279.0
"Tài sản ngắn hạn, dài hạn khác","TÀI SẢN > Tài sản ngắn hạn, dài hạn khác","Tài sản ngắn hạn, dài hạn khác",5.068.582.284,146.440.808.793,177.915.736.027,329.425.127.104,5068582284.0,146440808793.0,177915736027.0,329425127104.0
Tài sản không thể phân bổ,TÀI SẢN > Tài sản không thể phân bổ,Tài sản không thể phân bổ,,-,-,888.392.613.485,,,,888392613485.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,,,,9.319.852.662.482,,,,9319852662482.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,
Các khoản phải trả,NỘ PHẢI TRẢ > Các khoản phải trả,Các khoản phải trả,296.698.892.575,1.548.660.978.632,307.340.458.977,2.152.700.330.184,296698892575.0,1548660978632.0,307340458977.0,2152700330184.0
Phải trả tiền vay,NỘ PHẢI TRẢ > Phải trả tiền vay,Phải trả tiền vay,568.996.922.864,2.544.302.132.787,1.488.817.984.331,4.602.117.039.982,568996922864.0,2544302132787.0,1488817984331.0,4602117039982.0
Nợ phải trả không phân bổ,NỘ PHẢI TRẢ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,31.838.766.005,,,,31838766005.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,,,,6.786.656.136.171,,,,6786656136171.0
