row_label_raw,row_label_full,col_0,col_1,MS,TM,31/12/2016VND,01/01/2016VND,numeric__col_1,numeric__MS,numeric__TM,numeric__31/12/2016VND,numeric__01/01/2016VND
C-,C-,C-,NỘ PHẢI TRẢ,300,,6.786.656.136.171,5.363.935.180.003,,300.0,,6786656136171.0,5363935180003.0
I.,I.,I.,Nợ ngắn hạn,310,,1.517.800.792.824,727.384.624.117,,310.0,,1517800792824.0,727384624117.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.12,545.768.292.793,192.464.527.678,,311.0,512.0,545768292793.0,192464527678.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,51.924.418.156,65.886.681.745,,312.0,,51924418156.0,65886681745.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.13,158.267.738.027,163.910.288.191,,313.0,513.0,158267738027.0,163910288191.0
4.,4.,4.,Phải trả người lao động,314,,18.389.944.346,8.712.349.968,,314.0,,18389944346.0,8712349968.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.14,40.444.232.127,97.852.658.543,,315.0,514.0,40444232127.0,97852658543.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.15,22.727.272,22.727.272,,318.0,515.0,22727272.0,22727272.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.16,380.722.104.553,53.413.206.224,,319.0,516.0,380722104553.0,53413206224.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.17,301.508.696.730,129.460.545.030,,320.0,517.0,301508696730.0,129460545030.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,5.18,6.526.106.489,5.959.469.092,,321.0,518.0,6526106489.0,5959469092.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,14.226.532.331,9.702.170.374,,322.0,,14226532331.0,9702170374.0
II.,II.,II.,Nợ dài hạn,330,,5.268.855.343.347,4.636.550.555.886,,330.0,,5268855343347.0,4636550555886.0
1.,1.,1.,Phải trả người bán dài hạn,331,5.12,15.158.410.533,3.470.039.533,,331.0,512.0,15158410533.0,3470039533.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,5.15,283.659.965,306.387.237,,336.0,515.0,283659965.0,306387237.0
7.,7.,7.,Phải trả dài hạn khác,337,5.16,952.103.446.757,1.037.775.003.208,,337.0,516.0,952103446757.0,1037775003208.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.17,4.278.233.378.817,3.579.614.827.726,,338.0,517.0,4278233378817.0,3579614827726.0
12.,12.,12.,Dự phòng phải trả dài hạn,342,5.18,23.076.447.275,15.384.298.182,,342.0,518.0,23076447275.0,15384298182.0
D-,D-,D-,VỐN CHỦ SỞ HỮU,400,,2.533.196.526.311,1.722.415.693.973,,400.0,,2533196526311.0,1722415693973.0
I-,I-,I-,Vốn chủ sở hữu,410,,2.533.196.526.311,1.722.415.693.973,,410.0,,2533196526311.0,1722415693973.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,5.19,1.763.294.160.000,1.284.047.330.000,,411.0,519.0,1763294160000.0,1284047330000.0
,,,Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.763.294.160.000,1.284.047.330.000,,,,1763294160000.0,1284047330000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,5.19,69.840.926.959,70.238.348.433,,412.0,519.0,69840926959.0,70238348433.0
7.,7.,7.,Quỹ đầu tư phát triển,418,5.19,80.771.817.761,72.781.820.671,,418.0,519.0,80771817761.0,72781820671.0
10.,10.,10.,Lợi nhuận sau thuế chưa phân phối,421,5.19,502.306.388.914,291.843.960.332,,421.0,519.0,502306388914.0,291843960332.0
,,,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,101.783.539.232,125.956.188.284,,,,101783539232.0,125956188284.0
,,,LNST chưa phân phối kỳ này,421b,,400.522.849.682,165.887.772.048,,,,400522849682.0,165887772048.0
12.,12.,12.,Lợi ích cổ đông không kiểm soát,429,,116.983.232.677,3.504.234.537,,429.0,,116983232677.0,3504234537.0
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,9.319.852.662.482,7.086.350.873.976,,440.0,,9319852662482.0,7086350873976.0
