row_label_raw,row_label_full,31/12/2016,Dưới 1 nămVND > Tiền và các khoản tương đương tiền,Từ 1-5 nămVND > 428.688.075.454,TổngVND > -,numeric__Dưới 1 nămVND > Tiền và các khoản tương đương tiền,numeric__Từ 1-5 nămVND > 428.688.075.454,numeric__TổngVND > -
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,819.286.288.289,323.606.583.285,1.142.892.871.574,819286288289.0,323606583285.0,1142892871574.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,238.920.765.480,16.180.745.000,255.101.510.480,238920765480.0,16180745000.0,255101510480.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,134.298.370.409,-,134.298.370.409,134298370409.0,,134298370409.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,11.130.000.000,11.130.000.000,,11130000000.0,11130000000.0
01/01/2016,01/01/2016,01/01/2016,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
01/01/2016,01/01/2016 > 01/01/2016,01/01/2016,Tiền và các khoản tương đương tiền,576.880.129.477,-,,576880129477.0,
Phải thu khách hàng và phải thu khác,01/01/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,890.310.843.026,250.642.124.472,1.140.952.967.498,890310843026.0,250642124472.0,1140952967498.0
Các khoản cho vay,01/01/2016 > Các khoản cho vay,Các khoản cho vay,10.130.000.000,-,10.130.000.000,10130000000.0,,10130000000.0
Đầu tư ngắn hạn,01/01/2016 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,45.249.232.122,-,45.249.232.122,45249232122.0,,45249232122.0
Đầu tư dài hạn,01/01/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,6.130.000.000,6.130.000.000,,6130000000.0,6130000000.0
