row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023%/năm,Ngày 31 tháng 12năm 2022%/năm,numeric__Ngày 31 tháng 12năm 2023%/năm,numeric__Ngày 31 tháng 12năm 2022%/năm
Bằng VND,Bằng VND,Bằng VND,"3,49 - 8,68","3,66 - 12,18",,
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,"6,28 - 7,08","1,89 - 6,94",,
