row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023,Tổng giá trị củahợp đồng (theo tỷgiá ngày hiệu lựchợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023,Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023,Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị củahợp đồng (theo tỷgiá ngày hiệu lựchợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023,numeric__Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023,numeric__Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2023
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,29.048.729,-,86.876,29048729.0,,86876.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,81.748.339,-,178.392,81748339.0,,178392.0
,,,110.797.068,-,265.268,110797068.0,,265268.0
Số thuần,Số thuần,Số thuần,,,265.268,,,265268.0
Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,14.606.259,85.190,-,14606259.0,85190.0,
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,33.965.806,355.255,-,33965806.0,355255.0,
,,,48.572.065,440.445,-,48572065.0,440445.0,
Số thuần,Công cụ tài chính phải sinh tiền tệtại ngày 31 tháng 12 năm 2022 > Số thuần,Số thuần,,440.445,,,440445.0,
