row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Các ngoại tệ khác đượcquy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Các ngoại tệ khác đượcquy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,609,36.703,786,38.098,609.0,36703.0,786.0,38098.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,143,103.652,-,103.795,143.0,103652.0,,103795.0
Tiền gửi tại các TCTD khác,Tài sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,38.130,13.951.645,33.713,14.023.488,38130.0,13951645.0,33713.0,14023488.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,563.336,1.194.770,-,1.758.106,563336.0,1194770.0,,1758106.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,704,168.059,-,168.763,704.0,168059.0,,168763.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,602.922,15.454.829,34.499,16.092.250,602922.0,15454829.0,34499.0,16092250.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,51,5.694.596,20,5.694.667,51.0,5694596.0,20.0,5694667.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19.579,836.305,25.462,881.346,19579.0,836305.0,25462.0,881346.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,578.243,8.650.516,-,9.228.759,578243.0,8650516.0,,9228759.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,835,25.671,3.820,30.326,835.0,25671.0,3820.0,30326.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,598.708,15.207.088,29.302,15.835.098,598708.0,15207088.0,29302.0,15835098.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,4.214,247.741,5.197,257.152,4214.0,247741.0,5197.0,257152.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,430.052,6.460,436.512,,430052.0,6460.0,436512.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",4.214,677.793,11.657,693.664,4214.0,677793.0,11657.0,693664.0
