row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,347.249,452.772,878,800.899,347249.0,452772.0,878.0,800899.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,23.592,44.916,-,68.508,23592.0,44916.0,,68508.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,370.841,497.688,878,869.407,370841.0,497688.0,878.0,869407.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,6.167,302.806,878,309.851,6167.0,302806.0,878.0,309851.0
Hào mòn trong năm,Giá trị hao mòn lũy kế > Hào mòn trong năm,Hào mòn trong năm,2.099,34.788,-,36.887,2099.0,34788.0,,36887.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,8.266,337.594,878,346.738,8266.0,337594.0,878.0,346738.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,341.082,149.966,-,491.048,341082.0,149966.0,,491048.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,362.575,160.094,-,522.669,362575.0,160094.0,,522669.0
