row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,,
Tập đoànGeleximco - Công tyCP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoànGeleximco - Công tyCP,Tập đoànGeleximco - Công tyCP,Phải thu tiền bán cổ phiếuABSĐặt cọc thuê văn phòngTiền gửiVốn góp tại Ngân hàng,35.855,35.855,,35855.0,35855.0
Tập đoànGeleximco - Công tyCP,Tập đoànGeleximco - Công tyCP,Tập đoànGeleximco - Công tyCP,Phải thu tiền bán cổ phiếuABSĐặt cọc thuê văn phòngTiền gửiVốn góp tại Ngân hàng,7.437(167)(1.322.643),7.437(103)(1.202.403),,,
Malayan BankingBerhad - Maylaysia,Malayan BankingBerhad - Maylaysia,Malayan BankingBerhad - Maylaysia,Gửi tiền tại MalayanBanking BerhadTiền gửiVốn góp tại Ngân hàng,2.206(1.219)(1.696.836),2.204(682)(1.542.578),,,
Công ty Tài chínhQuốc tế,Malayan BankingBerhad - Maylaysia > Công ty Tài chínhQuốc tế,Công ty Tài chínhQuốc tế,Vốn góp tại Ngân hàng,(848.759),(771.599),,-848759.0,-771599.0
Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Tiền gửi có kỳ hạn vàkhông kỳ hạnLãi dự chi tiền gửi,(2.470.844)(4.641),(504.122)(377),,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
ABBA và ABBAS,ABBA và ABBAS,ABBA và ABBAS,Ngân hàng góp vốnĐặt cọc mua bất động sảnPhải thu cổ tứcTiền gửi có kỳ hạn vàkhông kỳ hạnLãi dự chi tiền gửiPhải trả phí hoạt động,260.000144.000122.256(19.768)(284)(4.758),260.000144.000117.212(12.329)(18)(5.827),,,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Tiền gửiLãi dự chi tiền gửi,(66.751)(133),(187.937)(63),,,
Ban Điều hành,Ban Điều hành,Ban Điều hành,Tiền gửiLãi dự chi tiền gửi,(9.992)(1.264),(13.003)(247),,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Tiền gửiLãi dự chi tiền gửi,(17.671)(58),(10.111)(148),,,
