row_label_raw,row_label_full,col_0,Số cuối năm > Mệnh giá Triệu đồng,Số cuối năm > Giá trị ghi số Triệu đồng,Số cuối năm > Tỷ lệ sở hữu (%),Số đầu năm > Mệnh giá Triệu đồng,Số đầu năm > Giá trị ghi số Triệu đồng,Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Mệnh giá Triệu đồng,numeric__Số cuối năm > Giá trị ghi số Triệu đồng,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Mệnh giá Triệu đồng,numeric__Số đầu năm > Giá trị ghi số Triệu đồng,numeric__Số đầu năm > Tỷ lệ sở hữu (%)
Công ty Tài chính,Công ty Tài chính,Công ty Tài chính,,,,,,,,,,,,
Cổ phần Điện Lực CTCP EVN - Quốc tế,Công ty Tài chính > Cổ phần Điện Lực CTCP EVN - Quốc tế,Cổ phần Điện Lực CTCP EVN - Quốc tế,-,-,-,81.586,58.145,"2,32",,,,81586.0,58145.0,2.32
Cổ phần Điện Lực CTCP EVN - Quốc tế,Công ty Tài chính > Cổ phần Điện Lực CTCP EVN - Quốc tế,Cổ phần Điện Lực CTCP EVN - Quốc tế,37.800,37.800,"10,31",37.800,37.800,"10,31",37800.0,37800.0,10.31,37800.0,37800.0,10.31
CTCP Đầu tư Điện lực 3,Công ty Tài chính > CTCP Đầu tư Điện lực 3,CTCP Đầu tư Điện lực 3,17.225,15.057,"5,17",17.225,15.057,"5,17",17225.0,15057.0,5.17,17225.0,15057.0,5.17
CTCP Thông tin Tín dụng Việt Nam,Công ty Tài chính > CTCP Thông tin Tín dụng Việt Nam,CTCP Thông tin Tín dụng Việt Nam,3.934,3.934,"3,28",3.934,3.934,"3,28",3934.0,3934.0,3.28,3934.0,3934.0,3.28
CTCP Thanh toán Quốc gia Việt Nam,Công ty Tài chính > CTCP Thanh toán Quốc gia Việt Nam,CTCP Thanh toán Quốc gia Việt Nam,2.600,2.000,"0,83",2.600,2.000,"0,83",2600.0,2000.0,0.83,2600.0,2000.0,0.83
,,,61.559,58.791,,143.145,116.936,,61559.0,58791.0,,143145.0,116936.0,
