row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,510.478,508.450,186.279,27.156,9.741,1.242.104,510478.0,508450.0,186279.0,27156.0,9741.0,1242104.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.255,25.875,1.214,2.581,1.334,35.259,4255.0,25875.0,1214.0,2581.0,1334.0,35259.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(325),(1.522),(1.553),(279),(460),(4.139),-325.0,-1522.0,-1553.0,-279.0,-460.0,-4139.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,514.408,532.803,185.940,29.458,10.615,1.273.224,514408.0,532803.0,185940.0,29458.0,10615.0,1273224.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,119.501,379.563,133.541,20.343,5.820,658.768,119501.0,379563.0,133541.0,20343.0,5820.0,658768.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,10.801,32.118,9.215,3.646,1.291,57.071,10801.0,32118.0,9215.0,3646.0,1291.0,57071.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(303),(1.522),(1.553),(279),(453),(4.110),-303.0,-1522.0,-1553.0,-279.0,-453.0,-4110.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,129.999,410.159,141.203,23.710,6.658,711.729,129999.0,410159.0,141203.0,23710.0,6658.0,711729.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,390.977,128.887,52.738,6.813,3.921,583.336,390977.0,128887.0,52738.0,6813.0,3921.0,583336.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,384.409,122.644,44.737,5.748,3.957,561.495,384409.0,122644.0,44737.0,5748.0,3957.0,561495.0
