row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,20.916,21.061,,20916.0,21061.0
Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Chủ tịch,6.575,6.667,,6575.0,6667.0
Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Phó Chủ tịch,6.156,5.833,,6156.0,5833.0
Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Thành viên độc lập,547,1.707,,547.0,1707.0
Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Thành viên độc lập,1.929,1.973,,1929.0,1973.0
Ông Soon Su Long,Ông Soon Su Long,Ông Soon Su Long,Thành viên,547,1.719,,547.0,1719.0
Bà Iris Fang,Bà Iris Fang,Bà Iris Fang,Thành viên,-,1.422,,,1422.0
Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Thành viên,555,1.740,,555.0,1740.0
Ông Trần Bá Vinh,Ông Trần Bá Vinh,Ông Trần Bá Vinh,Thành viên độc lập,1.221,-,,1221.0,
Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Thành viên độc lập,1.116,-,,1116.0,
Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Thành viên,1.135,-,,1135.0,
Ông Foong Seong Yew,Ông Foong Seong Yew,Ông Foong Seong Yew,Thành viên,1.135,-,,1135.0,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,4.240,4.080,,4240.0,4080.0
Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Trưởng ban,2.400,2.400,,2400.0,2400.0
Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Thành viênbán chuyên trách,1.240,1.080,,1240.0,1080.0
Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Thành việncchuyên trách,600,600,,600.0,600.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,4.050,3.000,,4050.0,3000.0
Ông Nguyễn Mạnh Quân,Ông Nguyễn Mạnh Quân,Ông Nguyễn Mạnh Quân,Quyền Tổng Giám đốc,-,3.000,,,3000.0
Bà Lê Thị Bích Phượng,Bà Lê Thị Bích Phượng,Bà Lê Thị Bích Phượng,Quyền Tổng Giám đốc,2.800,-,,2800.0,
Ông Phạm Duy Hiếu,Ông Phạm Duy Hiếu,Ông Phạm Duy Hiếu,Quyền Tổng Giám đốc,1.250,-,,1250.0,
