row_label_raw,row_label_full,col_0,Miền Bắc > Số cuối kỳ,Miền Bắc > Số đầu năm,Miền Trung > Số cuối kỳ,Miền Trung > Số đầu năm,Miền Nam > Số cuối kỳ,Miền Nam > Số đầu năm,Điều chỉnh > Số cuối kỳ,Điều chỉnh > Số đầu năm,Tổng > Số cuối kỳ,Tổng > Số đầu năm,numeric__Miền Bắc > Số cuối kỳ,numeric__Miền Bắc > Số đầu năm,numeric__Miền Trung > Số cuối kỳ,numeric__Miền Trung > Số đầu năm,numeric__Miền Nam > Số cuối kỳ,numeric__Miền Nam > Số đầu năm,numeric__Điều chỉnh > Số cuối kỳ,numeric__Điều chỉnh > Số đầu năm,numeric__Tổng > Số cuối kỳ,numeric__Tổng > Số đầu năm
I. Tài sản,I. Tài sản,I. Tài sản,8.401.477,19.216.008,7.647.444,5.050.489,76.443.386,63.016.247,-,-,92.492.307,87.282.744,8401477.0,19216008.0,7647444.0,5050489.0,76443386.0,63016247.0,,,92492307.0,87282744.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,35.016,50.693,83.790,108.259,419.604,501.643,,,538.410,660.595,35016.0,50693.0,83790.0,108259.0,419604.0,501643.0,,,538410.0,660595.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,5.076,2.804,233.737,237.513,1.175.418,1.110.765,,,1.414.231,1.351.082,5076.0,2804.0,233737.0,237513.0,1175418.0,1110765.0,,,1414231.0,1351082.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,8.361.385,19.162.511,7.329.917,4.704.717,74.848.364,61.403.839,,,90.539.666,85.271.067,8361385.0,19162511.0,7329917.0,4704717.0,74848364.0,61403839.0,,,90539666.0,85271067.0
II. Nợ phải trả,II. Nợ phải trả,II. Nợ phải trả,8.000.740,8.238.086,13.262.876,10.846.740,64.652.810,62.467.765,-,-,85.916.426,81.552.591,8000740.0,8238086.0,13262876.0,10846740.0,64652810.0,62467765.0,,,85916426.0,81552591.0
1. Nợ phải trả khách hàng,1. Nợ phải trả khách hàng,1. Nợ phải trả khách hàng,7.997.982,8.231.911,13.261.199,10.844.097,62.778.148,61.371.591,,,84.037.329,80.447.599,7997982.0,8231911.0,13261199.0,10844097.0,62778148.0,61371591.0,,,84037329.0,80447599.0
2. Nợ phải trả khác,2. Nợ phải trả khác,2. Nợ phải trả khác,2.758,6.175,1.677,2.643,1.874.662,1.096.174,,,1.879.097,1.104.992,2758.0,6175.0,1677.0,2643.0,1874662.0,1096174.0,,,1879097.0,1104992.0
