row_label_raw,row_label_full,17. Tiền gửi của khách hàng- Thuyết minh theo loại tiền gửi,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,4.077.264,3.406.484,4077264.0,3406484.0
- Bằng VND,- Bằng VND,- Bằng VND,4.069.130,3.394.224,4069130.0,3394224.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,8.134,12.260,8134.0,12260.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,2.282.732,2.205.334,2282732.0,2205334.0
- Bằng VND,- Bằng VND,- Bằng VND,2.282.732,2.205.334,2282732.0,2205334.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,-,-,,
Tiền gửi tiết kiệm không kỳ hạn,- Bằng ngoại tệ > Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,15.189,11.817,15189.0,11817.0
- Bằng VND,- Bằng ngoại tệ > - Bằng VND,- Bằng VND,11.527,8.729,11527.0,8729.0
- Bằng ngoại tệ,- Bằng ngoại tệ > - Bằng ngoại tệ,- Bằng ngoại tệ,3.662,3.088,3662.0,3088.0
Tiền gửi tiết kiệm có kỳ hạn,- Bằng ngoại tệ > Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,57.376.816,51.582.642,57376816.0,51582642.0
- Bằng VND,- Bằng ngoại tệ > - Bằng VND,- Bằng VND,57.335.634,51.537.924,57335634.0,51537924.0
- Bằng ngoại tệ,- Bằng ngoại tệ > - Bằng ngoại tệ,- Bằng ngoại tệ,41.182,44.718,41182.0,44718.0
Tiền gửi ký quỹ,- Bằng ngoại tệ > Tiền gửi ký quỹ,Tiền gửi ký quỹ,9.496,9.568,9496.0,9568.0
- Bằng VND,- Bằng ngoại tệ > - Bằng VND,- Bằng VND,9.496,9.568,9496.0,9568.0
Tổng cộng,- Bằng ngoại tệ > Tổng cộng,Tổng cộng,63.761.497,57.215.845,63761497.0,57215845.0
