row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,31/12/2024,31/12/2023,numeric__Thuyết minh,numeric__31/12/2024,numeric__31/12/2023
VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,V.23,6.575.881,5.730.153,,6575881.0,5730153.0
1. Vốn của TCTD,1. Vốn của TCTD,1. Vốn của TCTD,,3.618.619,3.618.619,,3618619.0,3618619.0
a. Vốn điều lệ,a. Vốn điều lệ,a. Vốn điều lệ,,3.652.819,3.652.819,,3652819.0,3652819.0
"b. Vốn đầu tư XDCB, mua sắm tài sản cố định","b. Vốn đầu tư XDCB, mua sắm tài sản cố định","b. Vốn đầu tư XDCB, mua sắm tài sản cố định",,-,-,,,
c. Thăng dư vốn cổ phần,c. Thăng dư vốn cổ phần,c. Thăng dư vốn cổ phần,,-,-,,,
d. Cổ phiếu quỹ,c. Thăng dư vốn cổ phần > d. Cổ phiếu quỹ,d. Cổ phiếu quỹ,,(34.200),(34.200),,-34200.0,-34200.0
e. Cổ phiếu ưu đãi,e. Cổ phiếu ưu đãi,e. Cổ phiếu ưu đãi,,-,-,,,
g. Vốn khác,g. Vốn khác,g. Vốn khác,,-,-,,,
2. Quỹ của TCTD,g. Vốn khác > 2. Quỹ của TCTD,2. Quỹ của TCTD,,549.912,464.700,,549912.0,464700.0
3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,,-,-,,,
4. Chênh lệch đánh giá lại tài sản,4. Chênh lệch đánh giá lại tài sản,4. Chênh lệch đánh giá lại tài sản,,-,-,,,
5. Lợi nhuận chưa phân phối,4. Chênh lệch đánh giá lại tài sản > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,,2.407.350,1.646.834,,2407350.0,1646834.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,4. Chênh lệch đánh giá lại tài sản > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,92.492.307,87.282.744,,92492307.0,87282744.0
