row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Nam > Năm nay,Miền Nam > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Tong > Năm nay,Tong > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Nam > Năm nay,numeric__Miền Nam > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Tong > Năm nay,numeric__Tong > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,1.081.059,1.622.984,969.713,1.226.176,6.712.268,6.890.543,(406.962),(894.539),8.356.078,8.845.164,1081059.0,1622984.0,969713.0,1226176.0,6712268.0,6890543.0,-406962.0,-894539.0,8356078.0,8845164.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,875.775,1.253.602,897.240,1.183.902,5.745.193,6.236.464,(406.962),(894.539),7.111.246,7.779.429,875775.0,1253602.0,897240.0,1183902.0,5745193.0,6236464.0,-406962.0,-894539.0,7111246.0,7779429.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,164.981,363.840,37.337,23.276,354.304,156.499,-,-,556.622,543.615,164981.0,363840.0,37337.0,23276.0,354304.0,156499.0,,,556622.0,543615.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,40.303,5.542,35.136,18.998,612.771,497.580,-,-,688.210,522.120,40303.0,5542.0,35136.0,18998.0,612771.0,497580.0,,,688210.0,522120.0
II. Chi phí,II. Chi phí,II. Chi phí,613.008,1.063.162,824.700,1.133.437,5.392.391,6.413.630,(406.962),(894.539),6.423.137,7.715.690,613008.0,1063162.0,824700.0,1133437.0,5392391.0,6413630.0,-406962.0,-894539.0,6423137.0,7715690.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,487.975,948.702,626.589,937.131,3.230.659,4.780.113,(406.962),(894.539),3.938.261,5.771.407,487975.0,948702.0,626589.0,937131.0,3230659.0,4780113.0,-406962.0,-894539.0,3938261.0,5771407.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,831,764,7.374,7.638,73.200,63.730,-,-,81.405,72.132,831.0,764.0,7374.0,7638.0,73200.0,63730.0,,,81405.0,72132.0
3. Chi phí liên quan trực tiếp tới hoạt động kinh doanh,3. Chi phí liên quan trực tiếp tới hoạt động kinh doanh,3. Chi phí liên quan trực tiếp tới hoạt động kinh doanh,124.202,113.696,190.737,188.668,2.088.532,1.569.787,-,-,2.403.471,1.872.151,124202.0,113696.0,190737.0,188668.0,2088532.0,1569787.0,,,2403471.0,1872151.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,468.051,559.822,145.013,92.739,1.319.877,476.913,-,-,1.932.941,1.129.474,468051.0,559822.0,145013.0,92739.0,1319877.0,476913.0,,,1932941.0,1129474.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,69.472,37.592,82.621,141.259,670.855,239.069,-,-,822.948,417.920,69472.0,37592.0,82621.0,141259.0,670855.0,239069.0,,,822948.0,417920.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,398.579,522.230,62.392,(48.520),649.022,237.844,-,-,1.109.993,711.554,398579.0,522230.0,62392.0,-48520.0,649022.0,237844.0,,,1109993.0,711554.0
