row_label_raw,row_label_full,6.1. Phân tích chất lượng nợ cho vay,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,59.353.660,50.157.776,59353660.0,50157776.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,837.674,623.705,837674.0,623705.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,231.594,229.607,231594.0,229607.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,170.332,320.567,170332.0,320567.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,838.649,451.397,838649.0,451397.0
Tổng cộng,Tổng cộng,Tổng cộng,61.431.909,51.783.052,61431909.0,51783052.0
6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,31/12/2024,31/12/2023,,
Nợ ngắn hạn,6.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,38.555.215,30.074.064,38555215.0,30074064.0
Nợ trung hạn,6.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,19.621.779,17.963.067,19621779.0,17963067.0
Nợ dài hạn,6.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,3.254.915,3.745.921,3254915.0,3745921.0
Tổng cộng,6.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,61.431.909,51.783.052,61431909.0,51783052.0
