row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
"Thu nhập từ tiền đến bù, xóa nợ","Thu nhập khác > Thu nhập từ tiền đến bù, xóa nợ","Thu nhập từ tiền đến bù, xóa nợ",494.261.400,5.540.540.455,494261400.0,5540540455.0
"Lãi từ thanh lý, nhượng bán tài sản cố định","Thu nhập khác > Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",867.084.981,339.818.183,867084981.0,339818183.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,4.860.382.425,4.736.874.144,4860382425.0,4736874144.0
TỔNG CỘNG,Thu nhập khác > TỔNG CỘNG,TỔNG CỘNG,6.221.728.806,10.617.232.782,6221728806.0,10617232782.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí khấu hao tài sản cố định dùng hoạt động,Chi phí khác > Chi phí khấu hao tài sản cố định dùng hoạt động,Chi phí khấu hao tài sản cố định dùng hoạt động,4.324.600.820,3.085.280.201,4324600820.0,3085280201.0
Giá trị đầu tư rừng trồng tổn thất,Chi phí khác > Giá trị đầu tư rừng trồng tổn thất,Giá trị đầu tư rừng trồng tổn thất,-,126.768.020,,126768020.0
Các khoản tiền phạt,Chi phí khác > Các khoản tiền phạt,Các khoản tiền phạt,491.642.775,339.806.966,491642775.0,339806966.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.522.986.701,1.515.339.904,1522986701.0,1515339904.0
TỔNG CỘNG,Chi phí khác > TỔNG CỘNG,TỔNG CỘNG,6.339.230.296,5.067.195.091,6339230296.0,5067195091.0
(LỔ)/LỢI NHUẬN KHÁC THUÀN,Chi phí khác > (LỔ)/LỢI NHUẬN KHÁC THUÀN,(LỔ)/LỢI NHUẬN KHÁC THUÀN,(117.501.490),5.550.037.691,-117501490.0,5550037691.0
