row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Dự án đầu tư dây chuyển sản xuất hàng nội thất tại cơ sở 2,Dự án đầu tư dây chuyển sản xuất hàng nội thất tại cơ sở 2,Dự án đầu tư dây chuyển sản xuất hàng nội thất tại cơ sở 2,38.716.116.740,-,38716116740.0,
Khu du lịch sinh thái nhà hàng Đông Bắc,Khu du lịch sinh thái nhà hàng Đông Bắc,Khu du lịch sinh thái nhà hàng Đông Bắc,6.865.839.340,6.865.839.340,6865839340.0,6865839340.0
Dự án mua sắm hệ thống hội nghị truyền hình,Dự án mua sắm hệ thống hội nghị truyền hình,Dự án mua sắm hệ thống hội nghị truyền hình,5.298.877.909,1.069.236.847,5298877909.0,1069236847.0
Công trình cải tạo sửa chữa tòa nhà Vinafor,Công trình cải tạo sửa chữa tòa nhà Vinafor,Công trình cải tạo sửa chữa tòa nhà Vinafor,705.970.426,10.530.147.396,705970426.0,10530147396.0
Lò sấy hơi nước,Lò sấy hơi nước,Lò sấy hơi nước,-,1.038.336.622,,1038336622.0
Dự án kho thành phẩm tại Xí nghiệp Mỹ Nguyên,Dự án kho thành phẩm tại Xí nghiệp Mỹ Nguyên,Dự án kho thành phẩm tại Xí nghiệp Mỹ Nguyên,-,9.709.717.515,,9709717515.0
Xây dựng cơ bản dở dang khác,Xây dựng cơ bản dở dang khác,Xây dựng cơ bản dở dang khác,10.111.229.583,2.286.322.678,10111229583.0,2286322678.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,61.698.033.998,31.499.600.398,61698033998.0,31499600398.0
