row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Giá trị,Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,53.346.600.158,-,54.424.298.278,-,53346600158.0,,54424298278.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,18.115.076.657,(16.516.984.522),17.538.932.881,(16.516.984.522),18115076657.0,-16516984522.0,17538932881.0,-16516984522.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,7.347.038.786,-,11.923.612.384,-,7347038786.0,,11923612384.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,13.167.673.272,(2.243.979.449),14.156.176.094,(7.068.620.961),13167673272.0,-2243979449.0,14156176094.0,-7068620961.0
Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 32),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 32),Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 32),1.103.811.705,-,3.055.511.705,-,1103811705.0,,3055511705.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,93.080.200.578,(18.760.963.971),101.098.531.342,(23.585.605.483),93080200578.0,-18760963971.0,101098531342.0,-23585605483.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Đầu tư dự án liên doanh trồng rừng,Dài hạn > Đầu tư dự án liên doanh trồng rừng,Đầu tư dự án liên doanh trồng rừng,-,-,1.237.478.870,-,,,1237478870.0,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.551.540.870,-,1.550.443.370,-,1551540870.0,,1550443370.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.551.540.870,-,2.787.922.240,-,1551540870.0,,2787922240.0,
