row_label_raw,row_label_full,Năm trước (Trình bày lại) > Số dư đầu năm > - Tăng trong năm > - Lợi nhuận thuần trong năm,Vốn góp của chủ sở hữu > Năm trước (Trình bày lại) > 3.500.000.000.000 > -,Vốn khác thuộc chủ sở hữu > Năm trước (Trình bày lại) > - > 9.015.428.100 > -,Chênh lệch tỷ giá hối đoái > Năm trước (Trình bày lại) > 3.474.679.731 > -,Quỹ đầu tư phát triển > Năm trước (Trình bày lại) > 247.448.671.612 > (5.376.578.100) > -,Quỹ khác thuộc vốn chủ sở hữu > Năm trước (Trình bày lại) > 48.852.285 > -,Lợi nhuận sau thuế chưa phần phối > Năm trước (Trình bày lại) > 1.062.339.214.227 > (3.638.850.000) > 276.706.843.846,Lợi ích cổ đông không kiểm soát > Năm trước (Trình bày lại) > 75.015.691.224 > - > 11.421.418.728,Đơn vị tính: VND Tổng cộng > Năm trước (Trình bày lại) > 4.888.327.109.079 > - > 288.128.262.574,numeric__Vốn góp của chủ sở hữu > Năm trước (Trình bày lại) > 3.500.000.000.000 > -,numeric__Vốn khác thuộc chủ sở hữu > Năm trước (Trình bày lại) > - > 9.015.428.100 > -,numeric__Chênh lệch tỷ giá hối đoái > Năm trước (Trình bày lại) > 3.474.679.731 > -,numeric__Quỹ đầu tư phát triển > Năm trước (Trình bày lại) > 247.448.671.612 > (5.376.578.100) > -,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước (Trình bày lại) > 48.852.285 > -,numeric__Lợi nhuận sau thuế chưa phần phối > Năm trước (Trình bày lại) > 1.062.339.214.227 > (3.638.850.000) > 276.706.843.846,numeric__Lợi ích cổ đông không kiểm soát > Năm trước (Trình bày lại) > 75.015.691.224 > - > 11.421.418.728,numeric__Đơn vị tính: VND Tổng cộng > Năm trước (Trình bày lại) > 4.888.327.109.079 > - > 288.128.262.574
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(311.150.000.000),(2.910.377.826),(314.060.377.826),,,,,,-311150000000.0,-2910377826.0,-314060377826.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(32.174.530.733),(1.218.746.913),(33.393.277.646),,,,,,-32174530733.0,-1218746913.0,-33393277646.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,4.346.471.300,-,(4.346.471.300),-,-,,,,4346471300.0,,-4346471300.0,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,(4.725.760.224),-,-,(6.333.874.740),-,(11.059.634.964),,,-4725760224.0,,,-6333874740.0,,-11059634964.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,9.015.428.100,(1.251.080.493),246.418.564.812,48.852.285,981.402.331.300,82.307.985.213,4.817.942.081.217,3500000000000.0,9015428100.0,-1251080493.0,246418564812.0,48852285.0,981402331300.0,82307985213.0,4817942081217.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,9.015.428.100,(1.251.080.493),246.418.564.812,48.852.285,981.402.331.300,82.307.985.213,4.817.942.081.217,3500000000000.0,9015428100.0,-1251080493.0,246418564812.0,48852285.0,981402331300.0,82307985213.0,4817942081217.0
- Tăng trong năm,Năm nay > - Tăng trong năm,- Tăng trong năm,-,-,-,-,-,-,10.994.250.000,10.994.250.000,,,,,,,10994250000.0,10994250000.0
- Giảm trích quỹ đầu tư phát triển (i),Năm nay > - Giảm trích quỹ đầu tư phát triển (i),- Giảm trích quỹ đầu tư phát triển (i),-,-,-,(32.407.444.487),-,32.407.444.487,-,-,,,,-32407444487.0,,32407444487.0,,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,475.484.163.399,8.898.531.744,484.382.695.143,,,,,,475484163399.0,8898531744.0,484382695143.0
- Chia cổ tức (i),Năm nay > - Chia cổ tức (i),- Chia cổ tức (i),-,-,-,-,-,(227.150.000.000),(1.766.594.140),(228.916.594.140),,,,,,-227150000000.0,-1766594140.0,-228916594140.0
- Trích quỹ khen thưởng phúc lợi (ii),Năm nay > - Trích quỹ khen thưởng phúc lợi (ii),- Trích quỹ khen thưởng phúc lợi (ii),-,-,-,-,-,(34.972.545.142),(1.456.173.844),(36.428.718.986),,,,,,-34972545142.0,-1456173844.0,-36428718986.0
- Trích quỹ đầu tư phát triển,Năm nay > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,21.960.696.212,-,(17.908.318.309),-,4.052.377.903,,,,21960696212.0,,-17908318309.0,,4052377903.0
- Tăng/ (giảm) khác,Năm nay > - Tăng/ (giảm) khác,- Tăng/ (giảm) khác,-,-,(8.983.884.454),-,-,(1.555.002.553),(327.245.889),(10.866.132.896),,,-8983884454.0,,,-1555002553.0,-327245889.0,-10866132896.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,9.015.428.100,(10.234.964.947),235.971.816.537,48.852.285,1.207.708.073.182,98.650.753.084,5.041.159.958.241,3500000000000.0,9015428100.0,-10234964947.0,235971816537.0,48852285.0,1207708073182.0,98650753084.0,5041159958241.0
