row_label_raw,row_label_full,Các khoản vay dài hạn ngân hàng được trình bày như sau:,Các khoản vay dài hạn ngân hàng được trình bày như sau:_1,Các khoản vay dài hạn ngân hàng được trình bày như sau:_2,Các khoản vay dài hạn ngân hàng được trình bày như sau:_3,Các khoản vay dài hạn ngân hàng được trình bày như sau:_4,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_1,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_2,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_3,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_4
,,,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đảm bảo,,,,
Bên cho vay,Bên cho vay,Bên cho vay,,,,,,,,
Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,Bên cho vay > Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,1.100.000.000,"Lãi vay trả từng quý, kỳ trả nợ cuối cùng 4 tháng 11 năm 2024.","11,5%/năm (được cấp bù chênh lệch lãi suất 5,75%/năm)","Nhà làm việc văn phòng công ty và thông lấy gỗ tại khu trồng rừng xã Tỉnh Bắc, Lộc Bình, Lạng Sơn.",1100000000.0,,,
Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,1.100.000.000,,,,1100000000.0,,,
Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Văn,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Văn,Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Văn,1.300.000.000,Tối đa 12 tháng từ ngày giải ngân. Ngày trả nợ gốc cuối cùng vào ngày 7 tháng 7 năm 2023. Lãi vay trả cùng ngày với nợ gốc.,Lãi suất cho từng lần nhận nợ,"Hàng tồn kho, máy móc thiết bị, nhà xưởng khu công nghiệp Hòa Khánh, số quyền sử dụng đất số 39-41 Nguyễn Thái Học của Công ty Vinafor Đà Nẵng.",1300000000.0,,,
Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,1.300.000.000,,,,1300000000.0,,,
Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh,Bên cho vay > Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh,4.868.952.078,Thời hạn cho vay 60 tháng kể từ ngày Giải ngân vốn ngay lần đầu. Lãi vay trả hàng tháng.,"Lãi suất huy động tiết kiệm VND cá nhân kỳ hạn 12 tháng (+) 3,5%/năm. Lãi suất trong kỳ là 9%.","- Tài sản gắn liền với đất tại 97/2/20 Kinh Dương Vương, Phương 12, Quận 6, Thành phố Hồ Chí Minh;- Toán bộ tài sản hình thành từ phương án đầu tư mở rộng kho thành phẩm và mái vòm tại địa điểm Khu vực 7, Phường Bùi Thị Xuân, Thành Phố Quy Nhơn, tỉnh Bình Định;- Hàng hóa luân chuyển trong quá trình sản xuất, kinh doanh, các khoản phải thu hình thành từ các hợp đồng vay vốn với ngân hàng, một số xe độ và 05 lò sấy hơi nước kiểu nằm công suất 1.500kg hơi/h.",4868952078.0,,,
Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,1.560.000.000,,,,1560000000.0,,,
Tổng cộng,Bên cho vay > Tổng cộng,Tổng cộng,7.268.952.078,,,,7268952078.0,,,
Trong đó:Vay dài hạn đến hạn trả,Bên cho vay > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,3.960.000.000,,,,3960000000.0,,,
Vay dài hạn,Bên cho vay > Vay dài hạn,Vay dài hạn,3.308.952.078,,,,3308952078.0,,,
